type;sample.name;sample.date;dilution;conc;OD
standard;NA;18.04.18;NA;20;3,207
standard;NA;18.04.18;NA;10;1,824
standard;NA;18.04.18;NA;5;0,822
standard;NA;18.04.18;NA;2,5;0,525
standard;NA;18.04.18;NA;1,25;0,382
standard;NA;18.04.18;NA;0,625;0,279
standard;NA;18.04.18;NA;0,313;0,153
NC;NA;18.04.18;NA;NA;0,089
sample;EA supernatant;18.04.18;2;NA;1,345
sample;EA supernatant;18.04.18;2;NA;1,251
sample;EA super after incubation with sepharose;18.04.18;2;NA;0,867
sample;EA super after incubation with sepharose;18.04.18;2;NA;0,951
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
sample;NA;NA;NA;NA;NA
