"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01_c2";"G";377;"^ 0.5";1;0,3;"euclidean";0,05;5;20;377;19
"B6_02_c2";"G";334;"^ 0.5";1;0,3;"euclidean";0,05;5;20;334;14
"B6_03_c2";"G";157;"^ 0.5";1;0,3;"euclidean";0,05;5;20;157;9
"C6_01_c2";"G";269;"^ 0.5";1;0,3;"euclidean";0,05;5;20;269;15
"C6_02_c2";"G";319;"^ 0.5";1;0,3;"euclidean";0,05;5;20;319;23
"C6_03_c2";"G";142;"^ 0.5";1;0,3;"euclidean";0,05;5;20;142;11
"D6_01_c2";"G";135;"^ 0.5";1;0,3;"euclidean";0,05;5;20;135;9
"D6_02_c2";"G";140;"^ 0.5";1;0,3;"euclidean";0,05;5;20;140;16
"D6_03_c2";"G";168;"^ 0.5";1;0,3;"euclidean";0,05;5;20;168;18
"E6_01_c2";"G";116;"^ 0.5";1;0,3;"euclidean";0,05;5;20;116;25
"E6_02_c2";"G";211;"^ 0.5";1;0,3;"euclidean";0,05;5;20;211;40
"E6_03_c2";"G";166;"^ 0.5";1;0,3;"euclidean";0,05;5;20;166;33
"F6_01_c2";"G";117;"^ 0.5";1;0,3;"euclidean";0,05;5;20;117;17
"F6_02_c2";"G";242;"^ 0.5";1;0,3;"euclidean";0,05;5;20;242;35
"F6_03_c2";"G";107;"^ 0.5";1;0,3;"euclidean";0,05;5;20;107;17
"G6_01_c2";"G";228;"^ 0.5";1;0,3;"euclidean";0,05;5;20;228;8
"G6_02_c2";"G";348;"^ 0.5";1;0,3;"euclidean";0,05;5;20;348;16
"G6_03_c2";"G";146;"^ 0.5";1;0,3;"euclidean";0,05;5;20;146;5
