"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01_c2";"G";148;"^ 0.5";1;0,3;"euclidean";0,05;5;20;148;27
"B7_02_c2";"G";111;"^ 0.5";1;0,3;"euclidean";0,05;5;20;111;28
"B7_03_c2";"G";120;"^ 0.5";1;0,3;"euclidean";0,05;5;20;120;14
"C7_01_c2";"G";273;"^ 0.5";1;0,3;"euclidean";0,05;5;20;273;10
"C7_02_c2";"G";217;"^ 0.5";1;0,3;"euclidean";0,05;5;20;217;9
"C7_03_c2";"G";124;"^ 0.5";1;0,3;"euclidean";0,05;5;20;124;8
"D7_01_c2";"G";282;"^ 0.5";1;0,3;"euclidean";0,05;5;20;282;12
"D7_02_c2";"G";280;"^ 0.5";1;0,3;"euclidean";0,05;5;20;280;15
"D7_03_c2";"G";164;"^ 0.5";1;0,3;"euclidean";0,05;5;20;164;4
"E7_01_c2";"G";166;"^ 0.5";1;0,3;"euclidean";0,05;5;20;166;50
"E7_02_c2";"G";117;"^ 0.5";1;0,3;"euclidean";0,05;5;20;117;26
"E7_03_c2";"G";150;"^ 0.5";1;0,3;"euclidean";0,05;5;20;150;22
"F7_01_c2";"G";126;"^ 0.5";1;0,3;"euclidean";0,05;5;20;126;33
"F7_02_c2";"G";81;"^ 0.5";1;0,3;"euclidean";0,05;5;20;81;25
"F7_03_c2";"G";130;"^ 0.5";1;0,3;"euclidean";0,05;5;20;130;33
"G7_01_c2";"G";155;"^ 0.5";1;0,3;"euclidean";0,05;5;20;155;22
"G7_02_c2";"G";108;"^ 0.5";1;0,3;"euclidean";0,05;5;20;108;27
"G7_03_c2";"G";121;"^ 0.5";1;0,3;"euclidean";0,05;5;20;121;24
