"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01_c2";"G";696;"^ 0.5";1;0,3;"euclidean";0,05;5;20;696;245
"B5_02_c2";"G";579;"^ 0.5";1;0,3;"euclidean";0,05;5;20;579;154
"B5_03_c2";"G";178;"^ 0.5";1;0,3;"euclidean";0,05;5;20;178;55
"C5_01_c2";"G";549;"^ 0.5";1;0,3;"euclidean";0,05;5;20;549;198
"C5_02_c2";"G";509;"^ 0.5";1;0,3;"euclidean";0,05;5;20;509;154
"C5_03_c2";"G";191;"^ 0.5";1;0,3;"euclidean";0,05;5;20;191;48
"D5_01_c2";"G";620;"^ 0.5";1;0,3;"euclidean";0,05;5;20;620;195
"D5_02_c2";"G";422;"^ 0.5";1;0,3;"euclidean";0,05;5;20;422;118
"D5_03_c2";"G";143;"^ 0.5";1;0,3;"euclidean";0,05;5;20;143;79
"E5_01_c2";"G";437;"^ 0.5";1;0,3;"euclidean";0,05;5;20;437;175
"E5_02_c2";"G";434;"^ 0.5";1;0,3;"euclidean";0,05;5;20;434;121
"E5_03_c2";"G";158;"^ 0.5";1;0,3;"euclidean";0,05;5;20;158;62
"F5_01_c2";"G";403;"^ 0.5";1;0,3;"euclidean";0,05;5;20;403;119
"F5_02_c2";"G";409;"^ 0.5";1;0,3;"euclidean";0,05;5;20;409;151
"F5_03_c2";"G";113;"^ 0.5";1;0,3;"euclidean";0,05;5;20;113;97
"G5_01_c2";"G";598;"^ 0.5";1;0,3;"euclidean";0,05;5;20;598;200
"G5_02_c2";"G";702;"^ 0.5";1;0,3;"euclidean";0,05;5;20;702;206
"G5_03_c2";"G";186;"^ 0.5";1;0,3;"euclidean";0,05;5;20;186;95
