"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";1580;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1580;392
"B4_02";"G";1566;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1566;401
"B4_03";"G";1263;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1263;181
"C4_01";"G";1576;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1576;538
"C4_02";"G";1617;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1617;646
"C4_03";"G";1444;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1444;415
"D4_01";"G";1583;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1583;406
"D4_02";"G";2061;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2061;472
"D4_03";"G";1438;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1438;231
"E4_01";"G";1527;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1527;397
"E4_02";"G";1513;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1513;387
"E4_03";"G";1681;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1681;309
"F4_01";"G";1171;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1171;187
"F4_02";"G";1360;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1360;354
"F4_03";"G";1023;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1023;174
"G4_01";"G";1226;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1226;235
"G4_02";"G";1428;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1428;331
"G4_03";"G";939;"^ 0.5";1;0,3;"euclidean";0,05;5;20;939;141
