"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";918;"^ 0.5";1;0,3;"euclidean";0,05;5;20;918;164
"B3_02";"G";980;"^ 0.5";1;0,3;"euclidean";0,05;5;20;980;203
"B3_03";"G";833;"^ 0.5";1;0,3;"euclidean";0,05;5;20;833;157
"C3_01";"G";965;"^ 0.5";1;0,3;"euclidean";0,05;5;20;965;210
"C3_02";"G";890;"^ 0.5";1;0,3;"euclidean";0,05;5;20;890;188
"C3_03";"G";796;"^ 0.5";1;0,3;"euclidean";0,05;5;20;796;201
"D3_01";"G";751;"^ 0.5";1;0,3;"euclidean";0,05;5;20;751;161
"D3_02";"G";610;"^ 0.5";1;0,3;"euclidean";0,05;5;20;610;150
"D3_03";"G";746;"^ 0.5";1;0,3;"euclidean";0,05;5;20;746;147
"E3_01";"G";875;"^ 0.5";1;0,3;"euclidean";0,05;5;20;875;183
"E3_02";"G";810;"^ 0.5";1;0,3;"euclidean";0,05;5;20;810;161
"E3_03";"G";830;"^ 0.5";1;0,3;"euclidean";0,05;5;20;830;201
"F3_01";"G";623;"^ 0.5";1;0,3;"euclidean";0,05;5;20;623;92
"F3_02";"G";618;"^ 0.5";1;0,3;"euclidean";0,05;5;20;618;142
"F3_03";"G";728;"^ 0.5";1;0,3;"euclidean";0,05;5;20;728;165
"G3_01";"G";703;"^ 0.5";1;0,3;"euclidean";0,05;5;20;703;146
"G3_02";"G";781;"^ 0.5";1;0,3;"euclidean";0,05;5;20;781;153
"G3_03";"G";1133;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1133;249
