"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5-03";"G";950;"^ 0.5";1;0,3;"euclidean";0,05;5;20;950;132
"B5_01";"G";1521;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1521;233
"B5_02";"G";1515;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1515;228
"C5_01";"G";1068;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1068;178
"C5_02";"G";1322;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1322;211
"C5_03";"G";1103;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1103;160
"D5_01";"G";1181;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1181;278
"D5_02";"G";1501;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1501;205
"D5_03";"G";1319;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1319;162
"E5_01";"G";1005;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1005;324
"E5_02";"G";1264;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1264;337
"E5_03";"G";1305;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1305;226
"F5_01";"G";839;"^ 0.5";1;0,3;"euclidean";0,05;5;20;839;96
"F5_02";"G";1316;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1316;197
"F5_03";"G";1263;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1263;195
"G5_01";"G";708;"^ 0.5";1;0,3;"euclidean";0,05;5;20;708;116
"G5_02";"G";1081;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1081;150
"G5_03";"G";1720;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1720;249
