"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";876;"^ 0.5";1;0,3;"euclidean";0,05;5;20;876;130
"B8_02";"G";811;"^ 0.5";1;0,3;"euclidean";0,05;5;20;811;87
"B8_03";"G";640;"^ 0.5";1;0,3;"euclidean";0,05;5;20;640;72
"C8_01";"G";624;"^ 0.5";1;0,3;"euclidean";0,05;5;20;624;61
"C8_02";"G";1014;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1014;161
"C8_03";"G";849;"^ 0.5";1;0,3;"euclidean";0,05;5;20;849;95
"D8_01";"G";747;"^ 0.5";1;0,3;"euclidean";0,05;5;20;747;79
"D8_02";"G";1021;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1021;147
"D8_03";"G";682;"^ 0.5";1;0,3;"euclidean";0,05;5;20;682;68
"E8_01";"G";658;"^ 0.5";1;0,3;"euclidean";0,05;5;20;658;54
"E8_02";"G";811;"^ 0.5";1;0,3;"euclidean";0,05;5;20;811;89
"E8_03";"G";749;"^ 0.5";1;0,3;"euclidean";0,05;5;20;749;132
"F8_01";"G";396;"^ 0.5";1;0,3;"euclidean";0,05;5;20;396;48
"F8_02";"G";744;"^ 0.5";1;0,3;"euclidean";0,05;5;20;744;90
"F8_03";"G";569;"^ 0.5";1;0,3;"euclidean";0,05;5;20;569;67
"G8_01";"G";715;"^ 0.5";1;0,3;"euclidean";0,05;5;20;715;93
"G8_02";"G";577;"^ 0.5";1;0,3;"euclidean";0,05;5;20;577;60
"G8_03";"G";704;"^ 0.5";1;0,3;"euclidean";0,05;5;20;704;72
