"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01";"G";1245;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1245;50
"B2_02";"G";1929;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1929;98
"B2_03";"G";1090;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1090;63
"C2_01";"G";1397;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1397;64
"C2_02";"G";2085;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2085;60
"C2_03";"G";1927;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1927;81
"D2_01";"G";1872;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1872;69
"D2_02";"G";2261;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2261;52
"D2_03";"G";2191;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2191;69
"E2_01";"G";2144;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2144;70
"E2_02";"G";2809;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2809;70
"E2_03";"G";2190;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2190;51
"F2_01";"G";2035;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2035;65
"F2_02";"G";2941;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2941;96
"F2_03";"G";2199;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2199;64
"G2_01";"G";1873;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1873;54
"G2_02";"G";2600;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2600;77
"G2_03";"G";1678;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1678;67
