"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";1840;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1840;149
"B4_02";"G";2042;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2042;177
"B4_03";"G";1133;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1133;54
"C4_01";"G";1723;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1723;166
"C4_02";"G";2257;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2257;212
"C4_03";"G";1669;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1669;86
"D4_01";"G";2310;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2310;237
"D4_02";"G";2311;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2311;284
"D4_03";"G";2065;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2065;189
"E4_01";"G";2358;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2358;297
"E4_02";"G";2437;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2437;271
"E4_03";"G";2360;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2360;217
"F4_01";"G";1940;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1940;202
"F4_02";"G";2349;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2349;249
"F4_03";"G";2145;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2145;203
"G4_01";"G";2027;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2027;241
"G4_02";"G";2295;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2295;243
"G4_03";"G";1964;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1964;183
