"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";1981;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1981;200
"B7_02";"G";1423;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1423;115
"B7_03";"G";1016;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1016;55
"C7_01";"G";1635;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1635;120
"C7_02";"G";1993;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1993;161
"C7_03";"G";1636;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1636;127
"D7_01";"G";1676;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1676;147
"D7_02";"G";1934;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1934;134
"D7_03";"G";1719;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1719;128
"E7_01";"G";1743;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1743;141
"E7_02";"G";2026;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2026;196
"E7_03";"G";1185;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1185;49
"F7_01";"G";1354;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1354;82
"F7_02";"G";1754;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1754;129
"F7_03";"G";1120;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1120;58
"G7_01";"G";1285;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1285;70
"G7_02";"G";1705;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1705;144
"G7_03";"G";1243;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1243;71
