"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01";"G";629;"^ 0.5";1;0,3;"euclidean";0,05;5;20;629;64
"B2_02";"G";982;"^ 0.5";1;0,3;"euclidean";0,05;5;20;982;117
"B2_03";"G";158;"^ 0.5";1;0,3;"euclidean";0,05;5;20;158;59
"C2_01";"G";311;"^ 0.5";1;0,3;"euclidean";0,05;5;20;311;79
"C2_02";"G";460;"^ 0.5";1;0,3;"euclidean";0,05;5;20;460;57
"C2_03";"G";595;"^ 0.5";1;0,3;"euclidean";0,05;5;20;595;58
"D2_01";"G";189;"^ 0.5";1;0,3;"euclidean";0,05;5;20;189;64
"D2_02";"G";446;"^ 0.5";1;0,3;"euclidean";0,05;5;20;446;39
"D2_03";"G";430;"^ 0.5";1;0,3;"euclidean";0,05;5;20;430;47
"E2_01";"G";568;"^ 0.5";1;0,3;"euclidean";0,05;5;20;568;99
"E2_02";"G";573;"^ 0.5";1;0,3;"euclidean";0,05;5;20;573;135
"E2_03";"G";1187;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1187;212
"F2_01";"G";820;"^ 0.5";1;0,3;"euclidean";0,05;5;20;820;151
"F2_02";"G";1199;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1199;270
"F2_03";"G";468;"^ 0.5";1;0,3;"euclidean";0,05;5;20;468;126
"G2_01";"G";442;"^ 0.5";1;0,3;"euclidean";0,05;5;20;442;115
"G2_02";"G";476;"^ 0.5";1;0,3;"euclidean";0,05;5;20;476;94
"G2_03";"G";485;"^ 0.5";1;0,3;"euclidean";0,05;5;20;485;89
