"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";1012;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1012;261
"B4_02";"G";1232;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1232;438
"B4_03";"G";1057;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1057;240
"C4_01";"G";736;"^ 0.5";1;0,3;"euclidean";0,05;5;20;736;156
"C4_02";"G";676;"^ 0.5";1;0,3;"euclidean";0,05;5;20;676;198
"C4_03";"G";852;"^ 0.5";1;0,3;"euclidean";0,05;5;20;852;312
"D4_01";"G";924;"^ 0.5";1;0,3;"euclidean";0,05;5;20;924;270
"D4_02";"G";1081;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1081;420
"D4_03";"G";956;"^ 0.5";1;0,3;"euclidean";0,05;5;20;956;296
"E4_01";"G";825;"^ 0.5";1;0,3;"euclidean";0,05;5;20;825;205
"E4_02";"G";1034;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1034;143
"E4_03";"G";967;"^ 0.5";1;0,3;"euclidean";0,05;5;20;967;286
"F4_01";"G";593;"^ 0.5";1;0,3;"euclidean";0,05;5;20;593;162
"F4_02";"G";938;"^ 0.5";1;0,3;"euclidean";0,05;5;20;938;286
"F4_03";"G";900;"^ 0.5";1;0,3;"euclidean";0,05;5;20;900;256
"G4_01";"G";1174;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1174;417
"G4_02";"G";1253;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1253;485
"G4_03";"G";1405;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1405;588
