"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01";"G";1061;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1061;172
"B2_02";"G";626;"^ 0.5";1;0,3;"euclidean";0,05;5;20;626;54
"B2_03";"G";454;"^ 0.5";1;0,3;"euclidean";0,05;5;20;454;45
"C2_01";"G";779;"^ 0.5";1;0,3;"euclidean";0,05;5;20;779;125
"C2_02";"G";740;"^ 0.5";1;0,3;"euclidean";0,05;5;20;740;75
"C2_03";"G";169;"^ 0.5";1;0,3;"euclidean";0,05;5;20;169;39
"D2_01";"G";889;"^ 0.5";1;0,3;"euclidean";0,05;5;20;889;167
"D2_02";"G";1392;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1392;126
"D2_03";"G";1241;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1241;103
"E2_01";"G";563;"^ 0.5";1;0,3;"euclidean";0,05;5;20;563;102
"E2_02";"G";769;"^ 0.5";1;0,3;"euclidean";0,05;5;20;769;76
"E2_03";"G";533;"^ 0.5";1;0,3;"euclidean";0,05;5;20;533;69
"F2_01";"G";378;"^ 0.5";1;0,3;"euclidean";0,05;5;20;378;55
"F2_02";"G";776;"^ 0.5";1;0,3;"euclidean";0,05;5;20;776;73
"F2_03";"G";661;"^ 0.5";1;0,3;"euclidean";0,05;5;20;661;70
"G2_01";"G";204;"^ 0.5";1;0,3;"euclidean";0,05;5;20;204;29
"G2_02";"G";317;"^ 0.5";1;0,3;"euclidean";0,05;5;20;317;36
"G2_03";"G";716;"^ 0.5";1;0,3;"euclidean";0,05;5;20;716;82
