"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";1055;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1055;171
"B6_02";"G";404;"^ 0.5";1;0,3;"euclidean";0,05;5;20;404;71
"B6_03";"G";917;"^ 0.5";1;0,3;"euclidean";0,05;5;20;917;54
"C6_01";"G";1152;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1152;252
"C6_02";"G";1007;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1007;124
"C6_03";"G";644;"^ 0.5";1;0,3;"euclidean";0,05;5;20;644;92
"D6_01";"G";299;"^ 0.5";1;0,3;"euclidean";0,05;5;20;299;34
"D6_02";"G";1101;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1101;88
"D6_03";"G";525;"^ 0.5";1;0,3;"euclidean";0,05;5;20;525;60
"E6_01";"G";508;"^ 0.5";1;0,3;"euclidean";0,05;5;20;508;63
"E6_02";"G";966;"^ 0.5";1;0,3;"euclidean";0,05;5;20;966;85
"E6_03";"G";78;"^ 0.5";1;0,3;"euclidean";0,05;5;20;78;20
"F6_01";"G";828;"^ 0.5";1;0,3;"euclidean";0,05;5;20;828;136
"F6_02";"G";1045;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1045;114
"F6_03";"G";819;"^ 0.5";1;0,3;"euclidean";0,05;5;20;819;74
"G6_01";"G";1063;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1063;134
"G6_02";"G";1492;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1492;143
"G6_03";"G";114;"^ 0.5";1;0,3;"euclidean";0,05;5;20;114;21
