"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";2164;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2164;969
"B4_02";"G";1210;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1210;427
"B4_03";"G";1548;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1548;280
"C4_01";"G";1627;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1627;565
"C4_02";"G";1417;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1417;402
"C4_03";"G";1391;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1391;195
"D4_01";"G";1738;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1738;610
"D4_02";"G";1661;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1661;303
"D4_03";"G";899;"^ 0.5";1;0,3;"euclidean";0,05;5;20;899;89
"E4_01";"G";1258;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1258;358
"E4_02";"G";1331;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1331;208
"E4_03";"G";1218;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1218;207
"F4_01";"G";1072;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1072;207
"F4_02";"G";1759;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1759;279
"F4_03";"G";722;"^ 0.5";1;0,3;"euclidean";0,05;5;20;722;91
"G4_01";"G";712;"^ 0.5";1;0,3;"euclidean";0,05;5;20;712;126
"G4_02";"G";1314;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1314;193
"G4_03";"G";1147;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1147;163
