"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";1829;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1829;477
"B7_02";"G";1370;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1370;270
"B7_03";"G";576;"^ 0.5";1;0,3;"euclidean";0,05;5;20;576;112
"C7_01";"G";1499;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1499;379
"C7_02";"G";964;"^ 0.5";1;0,3;"euclidean";0,05;5;20;964;162
"C7_03";"G";1119;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1119;242
"D7_01";"G";1530;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1530;223
"D7_02";"G";1660;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1660;266
"D7_03";"G";741;"^ 0.5";1;0,3;"euclidean";0,05;5;20;741;117
"E7_01";"G";1157;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1157;157
"E7_02";"G";1607;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1607;231
"E7_03";"G";747;"^ 0.5";1;0,3;"euclidean";0,05;5;20;747;70
"F7_01";"G";504;"^ 0.5";1;0,3;"euclidean";0,05;5;20;504;84
"F7_02";"G";822;"^ 0.5";1;0,3;"euclidean";0,05;5;20;822;104
"F7_03";"G";66;"^ 0.5";1;0,3;"euclidean";0,05;5;20;66;23
"G7_01";"G";440;"^ 0.5";1;0,3;"euclidean";0,05;5;20;440;96
"G7_02";"G";952;"^ 0.5";1;0,3;"euclidean";0,05;5;20;952;101
"G7_03";"G";485;"^ 0.5";1;0,3;"euclidean";0,05;5;20;485;48
