"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";1622;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1622;409
"B8_02";"G";1560;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1560;269
"B8_03";"G";902;"^ 0.5";1;0,3;"euclidean";0,05;5;20;902;331
"C8_01";"G";1957;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1957;413
"C8_02";"G";1057;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1057;136
"C8_03";"G";995;"^ 0.5";1;0,3;"euclidean";0,05;5;20;995;356
"D8_01";"G";2136;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2136;483
"D8_02";"G";1529;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1529;272
"D8_03";"G";2117;"^ 0.5";1;0,3;"euclidean";0,05;5;20;2117;657
"E8_01";"G";1263;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1263;202
"E8_02";"G";1277;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1277;154
"E8_03";"G";1429;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1429;216
"F8_01";"G";877;"^ 0.5";1;0,3;"euclidean";0,05;5;20;877;216
"F8_02";"G";929;"^ 0.5";1;0,3;"euclidean";0,05;5;20;929;117
"F8_03";"G";1331;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1331;332
"G8_01";"G";332;"^ 0.5";1;0,3;"euclidean";0,05;5;20;332;59
"G8_02";"G";815;"^ 0.5";1;0,3;"euclidean";0,05;5;20;815;39
"G8_03";"G";291;"^ 0.5";1;0,3;"euclidean";0,05;5;20;291;40
