"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";980;"^ 0.5";1;0,3;"euclidean";0,05;5;20;980;86
"B6_02";"G";908;"^ 0.5";1;0,3;"euclidean";0,05;5;20;908;133
"B6_03";"G";926;"^ 0.5";1;0,3;"euclidean";0,05;5;20;926;119
"C6_01";"G";947;"^ 0.5";1;0,3;"euclidean";0,05;5;20;947;90
"C6_02";"G";718;"^ 0.5";1;0,3;"euclidean";0,05;5;20;718;86
"C6_03";"G";903;"^ 0.5";1;0,3;"euclidean";0,05;5;20;903;113
"D6_01";"G";896;"^ 0.5";1;0,3;"euclidean";0,05;5;20;896;98
"D6_02";"G";782;"^ 0.5";1;0,3;"euclidean";0,05;5;20;782;95
"D6_03";"G";699;"^ 0.5";1;0,3;"euclidean";0,05;5;20;699;99
"E6_01";"G";787;"^ 0.5";1;0,3;"euclidean";0,05;5;20;787;94
"E6_02";"G";608;"^ 0.5";1;0,3;"euclidean";0,05;5;20;608;53
"E6_03";"G";626;"^ 0.5";1;0,3;"euclidean";0,05;5;20;626;84
"F6_01";"G";811;"^ 0.5";1;0,3;"euclidean";0,05;5;20;811;96
"F6_02";"G";685;"^ 0.5";1;0,3;"euclidean";0,05;5;20;685;71
"F6_03";"G";886;"^ 0.5";1;0,3;"euclidean";0,05;5;20;886;104
"G6_01";"G";1094;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1094;88
"G6_02";"G";646;"^ 0.5";1;0,3;"euclidean";0,05;5;20;646;79
"G6_03";"G";545;"^ 0.5";1;0,3;"euclidean";0,05;5;20;545;78
