"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";1121;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1121;129
"B5_02";"G";831;"^ 0.5";1;0,3;"euclidean";0,05;5;20;831;107
"B5_03";"G";999;"^ 0.5";1;0,3;"euclidean";0,05;5;20;999;153
"C5_01";"G";1221;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1221;126
"C5_02";"G";857;"^ 0.5";1;0,3;"euclidean";0,05;5;20;857;112
"C5_03";"G";1155;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1155;151
"D5_01";"G";963;"^ 0.5";1;0,3;"euclidean";0,05;5;20;963;117
"D5_02";"G";714;"^ 0.5";1;0,3;"euclidean";0,05;5;20;714;110
"D5_03";"G";711;"^ 0.5";1;0,3;"euclidean";0,05;5;20;711;127
"E5_01";"G";984;"^ 0.5";1;0,3;"euclidean";0,05;5;20;984;91
"E5_02";"G";877;"^ 0.5";1;0,3;"euclidean";0,05;5;20;877;116
"E5_03";"G";871;"^ 0.5";1;0,3;"euclidean";0,05;5;20;871;119
"F5_01";"G";874;"^ 0.5";1;0,3;"euclidean";0,05;5;20;874;93
"F5_02";"G";1024;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1024;145
"F5_03";"G";828;"^ 0.5";1;0,3;"euclidean";0,05;5;20;828;120
"G5_01";"G";1187;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1187;133
"G5_02";"G";972;"^ 0.5";1;0,3;"euclidean";0,05;5;20;972;159
"G5_03";"G";1492;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1492;180
