"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";1469;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1469;138
"B7_02";"G";823;"^ 0.5";1;0,3;"euclidean";0,05;5;20;823;84
"B7_03";"G";862;"^ 0.5";1;0,3;"euclidean";0,05;5;20;862;96
"C7_01";"G";1228;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1228;111
"C7_02";"G";784;"^ 0.5";1;0,3;"euclidean";0,05;5;20;784;94
"C7_03";"G";945;"^ 0.5";1;0,3;"euclidean";0,05;5;20;945;124
"D7_01";"G";774;"^ 0.5";1;0,3;"euclidean";0,05;5;20;774;70
"D7_02";"G";698;"^ 0.5";1;0,3;"euclidean";0,05;5;20;698;70
"D7_03";"G";834;"^ 0.5";1;0,3;"euclidean";0,05;5;20;834;100
"E7_01";"G";1002;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1002;107
"E7_02";"G";628;"^ 0.5";1;0,3;"euclidean";0,05;5;20;628;78
"E7_03";"G";684;"^ 0.5";1;0,3;"euclidean";0,05;5;20;684;98
"F7_01";"G";912;"^ 0.5";1;0,3;"euclidean";0,05;5;20;912;91
"F7_02";"G";565;"^ 0.5";1;0,3;"euclidean";0,05;5;20;565;80
"F7_03";"G";476;"^ 0.5";1;0,3;"euclidean";0,05;5;20;476;82
"G7_01";"G";935;"^ 0.5";1;0,3;"euclidean";0,05;5;20;935;100
"G7_02";"G";841;"^ 0.5";1;0,3;"euclidean";0,05;5;20;841;106
"G7_03";"G";904;"^ 0.5";1;0,3;"euclidean";0,05;5;20;904;117
