"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B8_01";"G";900;"^ 0.5";1;0,3;"euclidean";0,05;5;20;900;70
"B8_02";"G";991;"^ 0.5";1;0,3;"euclidean";0,05;5;20;991;80
"B8_03";"G";876;"^ 0.5";1;0,3;"euclidean";0,05;5;20;876;94
"C8_01";"G";542;"^ 0.5";1;0,3;"euclidean";0,05;5;20;542;47
"C8_02";"G";1088;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1088;93
"C8_03";"G";981;"^ 0.5";1;0,3;"euclidean";0,05;5;20;981;118
"D8_01";"G";567;"^ 0.5";1;0,3;"euclidean";0,05;5;20;567;50
"D8_02";"G";823;"^ 0.5";1;0,3;"euclidean";0,05;5;20;823;58
"D8_03";"G";529;"^ 0.5";1;0,3;"euclidean";0,05;5;20;529;56
"E8_01";"G";229;"^ 0.5";1;0,3;"euclidean";0,05;5;20;229;32
"E8_02";"G";513;"^ 0.5";1;0,3;"euclidean";0,05;5;20;513;60
"E8_03";"G";604;"^ 0.5";1;0,3;"euclidean";0,05;5;20;604;64
"F8_01";"G";481;"^ 0.5";1;0,3;"euclidean";0,05;5;20;481;47
"F8_02";"G";744;"^ 0.5";1;0,3;"euclidean";0,05;5;20;744;62
"F8_03";"G";965;"^ 0.5";1;0,3;"euclidean";0,05;5;20;965;109
"G8_01";"G";808;"^ 0.5";1;0,3;"euclidean";0,05;5;20;808;72
"G8_02";"G";1021;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1021;116
"G8_03";"G";626;"^ 0.5";1;0,3;"euclidean";0,05;5;20;626;61
