"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"B2_01";"G";1079;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1079;227;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B2_02";"G";1491;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1491;222;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B2_03";"G";1281;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1281;227;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_01";"G";1696;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1696;219;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_02";"G";1475;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1475;233;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_03";"G";1332;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1332;212;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_01";"G";1751;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1751;248;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_02";"G";1699;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1699;282;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_03";"G";1466;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1466;266;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_01";"G";1442;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1442;255;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_02";"G";1679;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1679;219;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_03";"G";1247;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1247;241;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_01";"G";1724;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1724;266;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_02";"G";1640;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1640;263;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_03";"G";1296;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1296;240;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_01";"G";1346;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1346;219;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_02";"G";1485;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1485;257;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_03";"G";1731;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1731;351;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B6_01";"G";1285;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1285;189;"report_3A7+TGF-beta.csv";"2018-10-04";1
"B6_02";"G";1468;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1468;306;"report_3A7+TGF-beta.csv";"2018-10-04";1
"B6_03";"G";828;"^ 0.5";1;0.3;"euclidean";0.05;5;20;828;150;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_01";"G";1340;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1340;230;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_02";"G";1721;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1721;418;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_03";"G";1225;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1225;204;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_01";"G";1127;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1127;174;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_02";"G";1497;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1497;308;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_03";"G";1367;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1367;240;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_01";"G";1136;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1136;203;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_02";"G";1504;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1504;406;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_03";"G";1165;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1165;149;"report_3A7+TGF-beta.csv";"2018-10-04";1
"F6_01";"G";867;"^ 0.5";1;0.3;"euclidean";0.05;5;20;867;120;"report_3A7+TGF-beta.csv";"2018-10-04";1
