"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"B2_01";"G";826;"^ 0.5";1;0.3;"euclidean";0.05;5;20;826;104;"report_2C8.csv";"2018-10-03";2
"B2_02";"G";700;"^ 0.5";1;0.3;"euclidean";0.05;5;20;700;57;"report_2C8.csv";"2018-10-03";2
"B2_03";"G";729;"^ 0.5";1;0.3;"euclidean";0.05;5;20;729;157;"report_2C8.csv";"2018-10-03";2
"C2_01";"G";1064;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1064;532;"report_2C8.csv";"2018-10-03";2
"C2_02";"G";1266;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1266;556;"report_2C8.csv";"2018-10-03";2
"C2_03";"G";969;"^ 0.5";1;0.3;"euclidean";0.05;5;20;969;328;"report_2C8.csv";"2018-10-03";2
"D2_01";"G";1010;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1010;252;"report_2C8.csv";"2018-10-03";2
"D2_02";"G";1663;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1663;542;"report_2C8.csv";"2018-10-03";2
"D2_03";"G";1384;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1384;285;"report_2C8.csv";"2018-10-03";2
"E2_01";"G";757;"^ 0.5";1;0.3;"euclidean";0.05;5;20;757;176;"report_2C8.csv";"2018-10-03";2
"E2_02";"G";924;"^ 0.5";1;0.3;"euclidean";0.05;5;20;924;411;"report_2C8.csv";"2018-10-03";2
"E2_03";"G";651;"^ 0.5";1;0.3;"euclidean";0.05;5;20;651;144;"report_2C8.csv";"2018-10-03";2
"F2_01";"G";1009;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1009;348;"report_2C8.csv";"2018-10-03";2
"F2_02";"G";1420;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1420;520;"report_2C8.csv";"2018-10-03";2
"F2_03";"G";1214;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1214;392;"report_2C8.csv";"2018-10-03";2
"G2_01";"G";1042;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1042;341;"report_2C8.csv";"2018-10-03";2
"G2_02";"G";1154;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1154;565;"report_2C8.csv";"2018-10-03";2
"G2_03";"G";941;"^ 0.5";1;0.3;"euclidean";0.05;5;20;941;281;"report_2C8.csv";"2018-10-03";2
"B6_01";"G";915;"^ 0.5";1;0.3;"euclidean";0.05;5;20;915;359;"report_3A7.csv";"2018-10-03";2
"B6_02";"G";955;"^ 0.5";1;0.3;"euclidean";0.05;5;20;955;487;"report_3A7.csv";"2018-10-03";2
"B6_03";"G";881;"^ 0.5";1;0.3;"euclidean";0.05;5;20;881;295;"report_3A7.csv";"2018-10-03";2
"C6_01";"G";1066;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1066;351;"report_3A7.csv";"2018-10-03";2
"C6_02";"G";1008;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1008;437;"report_3A7.csv";"2018-10-03";2
"C6_03";"G";1003;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1003;419;"report_3A7.csv";"2018-10-03";2
"D6_01";"G";771;"^ 0.5";1;0.3;"euclidean";0.05;5;20;771;280;"report_3A7.csv";"2018-10-03";2
"D6_02";"G";1075;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1075;422;"report_3A7.csv";"2018-10-03";2
"D6_03";"G";1002;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1002;414;"report_3A7.csv";"2018-10-03";2
"E6_01";"G";962;"^ 0.5";1;0.3;"euclidean";0.05;5;20;962;301;"report_3A7.csv";"2018-10-03";2
"E6_02";"G";1077;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1077;500;"report_3A7.csv";"2018-10-03";2
"E6_03";"G";991;"^ 0.5";1;0.3;"euclidean";0.05;5;20;991;398;"report_3A7.csv";"2018-10-03";2
"F6_01";"G";874;"^ 0.5";1;0.3;"euclidean";0.05;5;20;874;322;"report_3A7.csv";"2018-10-03";2
"F6_02";"G";1074;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1074;404;"report_3A7.csv";"2018-10-03";2
"F6_03";"G";1275;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1275;280;"report_3A7.csv";"2018-10-03";2
"G6_01";"G";957;"^ 0.5";1;0.3;"euclidean";0.05;5;20;957;187;"report_3A7.csv";"2018-10-03";2
"G6_02";"G";1301;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1301;329;"report_3A7.csv";"2018-10-03";2
"G6_03";"G";1084;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1084;153;"report_3A7.csv";"2018-10-03";2
"B3_01";"G";1047;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1047;492;"report_4C9.csv";"2018-10-03";2
"B3_02";"G";1016;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1016;463;"report_4C9.csv";"2018-10-03";2
