"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"B2_01";"G";989;"^ 0.5";1;0.3;"euclidean";0.05;5;20;989;149;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B2_02";"G";1429;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1429;127;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B2_03";"G";703;"^ 0.5";1;0.3;"euclidean";0.05;5;20;703;73;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_01";"G";608;"^ 0.5";1;0.3;"euclidean";0.05;5;20;608;99;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_02";"G";1158;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1158;112;"report_2C8+TGF-beta.csv";"2018-10-04";1
"C2_03";"G";806;"^ 0.5";1;0.3;"euclidean";0.05;5;20;806;74;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_01";"G";738;"^ 0.5";1;0.3;"euclidean";0.05;5;20;738;117;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_02";"G";1078;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1078;116;"report_2C8+TGF-beta.csv";"2018-10-04";1
"D2_03";"G";795;"^ 0.5";1;0.3;"euclidean";0.05;5;20;795;95;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_01";"G";437;"^ 0.5";1;0.3;"euclidean";0.05;5;20;437;56;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_02";"G";417;"^ 0.5";1;0.3;"euclidean";0.05;5;20;417;25;"report_2C8+TGF-beta.csv";"2018-10-04";1
"E2_03";"G";385;"^ 0.5";1;0.3;"euclidean";0.05;5;20;385;32;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_01";"G";244;"^ 0.5";1;0.3;"euclidean";0.05;5;20;244;44;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_02";"G";341;"^ 0.5";1;0.3;"euclidean";0.05;5;20;341;23;"report_2C8+TGF-beta.csv";"2018-10-04";1
"F2_03";"G";419;"^ 0.5";1;0.3;"euclidean";0.05;5;20;419;33;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_01";"G";448;"^ 0.5";1;0.3;"euclidean";0.05;5;20;448;75;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_02";"G";344;"^ 0.5";1;0.3;"euclidean";0.05;5;20;344;24;"report_2C8+TGF-beta.csv";"2018-10-04";1
"G2_03";"G";296;"^ 0.5";1;0.3;"euclidean";0.05;5;20;296;28;"report_2C8+TGF-beta.csv";"2018-10-04";1
"B6_01";"G";562;"^ 0.5";1;0.3;"euclidean";0.05;5;20;562;58;"report_3A7+TGF-beta.csv";"2018-10-04";1
"B6_02";"G";699;"^ 0.5";1;0.3;"euclidean";0.05;5;20;699;57;"report_3A7+TGF-beta.csv";"2018-10-04";1
"B6_03";"G";451;"^ 0.5";1;0.3;"euclidean";0.05;5;20;451;63;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_01";"G";301;"^ 0.5";1;0.3;"euclidean";0.05;5;20;301;19;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_02";"G";392;"^ 0.5";1;0.3;"euclidean";0.05;5;20;392;31;"report_3A7+TGF-beta.csv";"2018-10-04";1
"C6_03";"G";481;"^ 0.5";1;0.3;"euclidean";0.05;5;20;481;39;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_01";"G";433;"^ 0.5";1;0.3;"euclidean";0.05;5;20;433;36;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_02";"G";304;"^ 0.5";1;0.3;"euclidean";0.05;5;20;304;20;"report_3A7+TGF-beta.csv";"2018-10-04";1
"D6_03";"G";594;"^ 0.5";1;0.3;"euclidean";0.05;5;20;594;75;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_01";"G";271;"^ 0.5";1;0.3;"euclidean";0.05;5;20;271;14;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_02";"G";407;"^ 0.5";1;0.3;"euclidean";0.05;5;20;407;40;"report_3A7+TGF-beta.csv";"2018-10-04";1
"E6_03";"G";352;"^ 0.5";1;0.3;"euclidean";0.05;5;20;352;23;"report_3A7+TGF-beta.csv";"2018-10-04";1
"F6_01";"G";248;"^ 0.5";1;0.3;"euclidean";0.05;5;20;248;25;"report_3A7+TGF-beta.csv";"2018-10-04";1
"F6_02";"G";390;"^ 0.5";1;0.3;"euclidean";0.05;5;20;390;28;"report_3A7+TGF-beta.csv";"2018-10-04";1
"F6_03";"G";468;"^ 0.5";1;0.3;"euclidean";0.05;5;20;468;52;"report_3A7+TGF-beta.csv";"2018-10-04";1
"G6_01";"G";171;"^ 0.5";1;0.3;"euclidean";0.05;5;20;171;27;"report_3A7+TGF-beta.csv";"2018-10-04";1
"G6_02";"G";246;"^ 0.5";1;0.3;"euclidean";0.05;5;20;246;33;"report_3A7+TGF-beta.csv";"2018-10-04";1
"G6_03";"G";272;"^ 0.5";1;0.3;"euclidean";0.05;5;20;272;44;"report_3A7+TGF-beta.csv";"2018-10-04";1
"B3_01";"G";681;"^ 0.5";1;0.3;"euclidean";0.05;5;20;681;80;"report_4C9+TGF-beta.csv";"2018-10-04";1
"B3_02";"G";782;"^ 0.5";1;0.3;"euclidean";0.05;5;20;782;122;"report_4C9+TGF-beta.csv";"2018-10-04";1
"B3_03";"G";587;"^ 0.5";1;0.3;"euclidean";0.05;5;20;587;66;"report_4C9+TGF-beta.csv";"2018-10-04";1
"C3_01";"G";889;"^ 0.5";1;0.3;"euclidean";0.05;5;20;889;115;"report_4C9+TGF-beta.csv";"2018-10-04";1
"C3_02";"G";1103;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1103;147;"report_4C9+TGF-beta.csv";"2018-10-04";1
"C3_03";"G";881;"^ 0.5";1;0.3;"euclidean";0.05;5;20;881;89;"report_4C9+TGF-beta.csv";"2018-10-04";1
