"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"B2_01";"G";225;"^ 0.5";1;0.3;"euclidean";0.05;5;20;225;23;"report_2C8.csv";"2018-10-03";2
"B2_02";"G";270;"^ 0.5";1;0.3;"euclidean";0.05;5;20;270;30;"report_2C8.csv";"2018-10-03";2
"B2_03";"G";235;"^ 0.5";1;0.3;"euclidean";0.05;5;20;235;21;"report_2C8.csv";"2018-10-03";2
"C2_01";"G";353;"^ 0.5";1;0.3;"euclidean";0.05;5;20;353;77;"report_2C8.csv";"2018-10-03";2
"C2_02";"G";505;"^ 0.5";1;0.3;"euclidean";0.05;5;20;505;61;"report_2C8.csv";"2018-10-03";2
"C2_03";"G";422;"^ 0.5";1;0.3;"euclidean";0.05;5;20;422;77;"report_2C8.csv";"2018-10-03";2
"D2_01";"G";242;"^ 0.5";1;0.3;"euclidean";0.05;5;20;242;38;"report_2C8.csv";"2018-10-03";2
"D2_02";"G";355;"^ 0.5";1;0.3;"euclidean";0.05;5;20;355;52;"report_2C8.csv";"2018-10-03";2
"D2_03";"G";307;"^ 0.5";1;0.3;"euclidean";0.05;5;20;307;54;"report_2C8.csv";"2018-10-03";2
"E2_01";"G";309;"^ 0.5";1;0.3;"euclidean";0.05;5;20;309;48;"report_2C8.csv";"2018-10-03";2
"E2_02";"G";406;"^ 0.5";1;0.3;"euclidean";0.05;5;20;406;82;"report_2C8.csv";"2018-10-03";2
"E2_03";"G";403;"^ 0.5";1;0.3;"euclidean";0.05;5;20;403;58;"report_2C8.csv";"2018-10-03";2
"F2_01";"G";290;"^ 0.5";1;0.3;"euclidean";0.05;5;20;290;36;"report_2C8.csv";"2018-10-03";2
"F2_02";"G";379;"^ 0.5";1;0.3;"euclidean";0.05;5;20;379;42;"report_2C8.csv";"2018-10-03";2
"F2_03";"G";407;"^ 0.5";1;0.3;"euclidean";0.05;5;20;407;57;"report_2C8.csv";"2018-10-03";2
"G2_01";"G";371;"^ 0.5";1;0.3;"euclidean";0.05;5;20;371;48;"report_2C8.csv";"2018-10-03";2
"G2_02";"G";450;"^ 0.5";1;0.3;"euclidean";0.05;5;20;450;94;"report_2C8.csv";"2018-10-03";2
"G2_03";"G";549;"^ 0.5";1;0.3;"euclidean";0.05;5;20;549;87;"report_2C8.csv";"2018-10-03";2
"B6_01";"G";432;"^ 0.5";1;0.3;"euclidean";0.05;5;20;432;59;"report_3A7.csv";"2018-10-03";2
"B6_02";"G";547;"^ 0.5";1;0.3;"euclidean";0.05;5;20;547;91;"report_3A7.csv";"2018-10-03";2
"B6_03";"G";339;"^ 0.5";1;0.3;"euclidean";0.05;5;20;339;46;"report_3A7.csv";"2018-10-03";2
"C6_01";"G";376;"^ 0.5";1;0.3;"euclidean";0.05;5;20;376;47;"report_3A7.csv";"2018-10-03";2
"C6_02";"G";473;"^ 0.5";1;0.3;"euclidean";0.05;5;20;473;66;"report_3A7.csv";"2018-10-03";2
"C6_03";"G";409;"^ 0.5";1;0.3;"euclidean";0.05;5;20;409;75;"report_3A7.csv";"2018-10-03";2
"D6_01";"G";146;"^ 0.5";1;0.3;"euclidean";0.05;5;20;146;22;"report_3A7.csv";"2018-10-03";2
"D6_02";"G";201;"^ 0.5";1;0.3;"euclidean";0.05;5;20;201;41;"report_3A7.csv";"2018-10-03";2
"D6_03";"G";106;"^ 0.5";1;0.3;"euclidean";0.05;5;20;106;16;"report_3A7.csv";"2018-10-03";2
"E6_01";"G";293;"^ 0.5";1;0.3;"euclidean";0.05;5;20;293;38;"report_3A7.csv";"2018-10-03";2
"E6_02";"G";330;"^ 0.5";1;0.3;"euclidean";0.05;5;20;330;41;"report_3A7.csv";"2018-10-03";2
"E6_03";"G";296;"^ 0.5";1;0.3;"euclidean";0.05;5;20;296;34;"report_3A7.csv";"2018-10-03";2
"F6_01";"G";166;"^ 0.5";1;0.3;"euclidean";0.05;5;20;166;24;"report_3A7.csv";"2018-10-03";2
"F6_02";"G";214;"^ 0.5";1;0.3;"euclidean";0.05;5;20;214;34;"report_3A7.csv";"2018-10-03";2
"F6_03";"G";251;"^ 0.5";1;0.3;"euclidean";0.05;5;20;251;38;"report_3A7.csv";"2018-10-03";2
"G6_01";"G";261;"^ 0.5";1;0.3;"euclidean";0.05;5;20;261;47;"report_3A7.csv";"2018-10-03";2
"G6_02";"G";264;"^ 0.5";1;0.3;"euclidean";0.05;5;20;264;39;"report_3A7.csv";"2018-10-03";2
"G6_03";"G";220;"^ 0.5";1;0.3;"euclidean";0.05;5;20;220;58;"report_3A7.csv";"2018-10-03";2
"B3_01";"G";918;"^ 0.5";1;0.3;"euclidean";0.05;5;20;918;164;"report_4C9.csv";"2018-10-03";2
"B3_02";"G";980;"^ 0.5";1;0.3;"euclidean";0.05;5;20;980;203;"report_4C9.csv";"2018-10-03";2
"B3_03";"G";833;"^ 0.5";1;0.3;"euclidean";0.05;5;20;833;157;"report_4C9.csv";"2018-10-03";2
"C3_01";"G";965;"^ 0.5";1;0.3;"euclidean";0.05;5;20;965;210;"report_4C9.csv";"2018-10-03";2
"C3_02";"G";890;"^ 0.5";1;0.3;"euclidean";0.05;5;20;890;188;"report_4C9.csv";"2018-10-03";2
"C3_03";"G";796;"^ 0.5";1;0.3;"euclidean";0.05;5;20;796;201;"report_4C9.csv";"2018-10-03";2
"D3_01";"G";751;"^ 0.5";1;0.3;"euclidean";0.05;5;20;751;161;"report_4C9.csv";"2018-10-03";2
"D3_02";"G";610;"^ 0.5";1;0.3;"euclidean";0.05;5;20;610;150;"report_4C9.csv";"2018-10-03";2
"D3_03";"G";746;"^ 0.5";1;0.3;"euclidean";0.05;5;20;746;147;"report_4C9.csv";"2018-10-03";2
"E3_01";"G";875;"^ 0.5";1;0.3;"euclidean";0.05;5;20;875;183;"report_4C9.csv";"2018-10-03";2
"E3_02";"G";810;"^ 0.5";1;0.3;"euclidean";0.05;5;20;810;161;"report_4C9.csv";"2018-10-03";2
"E3_03";"G";830;"^ 0.5";1;0.3;"euclidean";0.05;5;20;830;201;"report_4C9.csv";"2018-10-03";2
"F3_01";"G";623;"^ 0.5";1;0.3;"euclidean";0.05;5;20;623;92;"report_4C9.csv";"2018-10-03";2
"F3_02";"G";618;"^ 0.5";1;0.3;"euclidean";0.05;5;20;618;142;"report_4C9.csv";"2018-10-03";2
"F3_03";"G";728;"^ 0.5";1;0.3;"euclidean";0.05;5;20;728;165;"report_4C9.csv";"2018-10-03";2
"G3_01";"G";703;"^ 0.5";1;0.3;"euclidean";0.05;5;20;703;146;"report_4C9.csv";"2018-10-03";2
"G3_02";"G";781;"^ 0.5";1;0.3;"euclidean";0.05;5;20;781;153;"report_4C9.csv";"2018-10-03";2
"G3_03";"G";1133;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1133;249;"report_4C9.csv";"2018-10-03";2
"B4_01";"G";630;"^ 0.5";1;0.3;"euclidean";0.05;5;20;630;111;"report_4E4.csv";"2018-10-03";2
"B4_02";"G";584;"^ 0.5";1;0.3;"euclidean";0.05;5;20;584;116;"report_4E4.csv";"2018-10-03";2
"B4_03";"G";432;"^ 0.5";1;0.3;"euclidean";0.05;5;20;432;81;"report_4E4.csv";"2018-10-03";2
"C4_01";"G";713;"^ 0.5";1;0.3;"euclidean";0.05;5;20;713;153;"report_4E4.csv";"2018-10-03";2
"C4_02";"G";652;"^ 0.5";1;0.3;"euclidean";0.05;5;20;652;135;"report_4E4.csv";"2018-10-03";2
"C4_03";"G";710;"^ 0.5";1;0.3;"euclidean";0.05;5;20;710;138;"report_4E4.csv";"2018-10-03";2
"D4_01";"G";638;"^ 0.5";1;0.3;"euclidean";0.05;5;20;638;105;"report_4E4.csv";"2018-10-03";2
"D4_02";"G";542;"^ 0.5";1;0.3;"euclidean";0.05;5;20;542;98;"report_4E4.csv";"2018-10-03";2
"D4_03";"G";696;"^ 0.5";1;0.3;"euclidean";0.05;5;20;696;138;"report_4E4.csv";"2018-10-03";2
"E4_01";"G";705;"^ 0.5";1;0.3;"euclidean";0.05;5;20;705;132;"report_4E4.csv";"2018-10-03";2
"E4_02";"G";639;"^ 0.5";1;0.3;"euclidean";0.05;5;20;639;160;"report_4E4.csv";"2018-10-03";2
"E4_03";"G";775;"^ 0.5";1;0.3;"euclidean";0.05;5;20;775;162;"report_4E4.csv";"2018-10-03";2
"F4_01";"G";372;"^ 0.5";1;0.3;"euclidean";0.05;5;20;372;66;"report_4E4.csv";"2018-10-03";2
