"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"EA.hy926 2018-03-15 02D_03_c2";"G";20;"^ 1";1;0,3;"euclidean";0,05;5;50;20;8
"EA.hy926 2018-03-15 02E_01_c2";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;50;8;0
"EA.hy926 2018-03-15 02E_02_c2";"G";13;"^ 1";1;0,3;"euclidean";0,05;5;50;13;2
"EA.hy926 2018-03-15 02E_03_c2";"G";20;"^ 1";1;0,3;"euclidean";0,05;5;50;20;2
"EA.hy926 2018-03-15 02F_01_c2";"G";7;"^ 1";1;0,3;"euclidean";0,05;5;50;7;0
"EA.hy926 2018-03-15 02F_02_c2";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;50;8;0
"EA.hy926 2018-03-15 02F_03_c2";"G";16;"^ 1";1;0,3;"euclidean";0,05;5;50;16;5
"EA.hy926 2018-03-15 03C_01_c2";"G";4;"^ 1";1;0,3;"euclidean";0,05;5;50;4;0
"EA.hy926 2018-03-15 03C_02_c2";"G";6;"^ 1";1;0,3;"euclidean";0,05;5;50;6;0
"EA.hy926 2018-03-15 03C_03_c2";"G";9;"^ 1";1;0,3;"euclidean";0,05;5;50;9;11
"EA.hy926 2018-03-15 03D_01_c2";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;50;29;4
"EA.hy926 2018-03-15 03D_02_c2";"G";64;"^ 1";1;0,3;"euclidean";0,05;5;50;64;51
"EA.hy926 2018-03-15 03D_03_c2";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;50;25;0
"EA.hy926 2018-03-15 03E_01_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;50;44;8
"EA.hy926 2018-03-15 03E_02_c2";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;50;25;0
"EA.hy926 2018-03-15 03E_03_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;50;30;0
"EA.hy926 2018-03-15 03F_01_c2";"G";3;"^ 1";1;0,3;"euclidean";0,05;5;50;3;25
