name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;cells
EA.hy926 2018-03-16 02C_01_c2;G;47;^ 1;1;0,3;euclidean;0,05;5;50;47;4;49
EA.hy926 2018-03-16 02C_02_c2;G;43;^ 1;1;0,3;euclidean;0,05;5;50;43;1;43
EA.hy926 2018-03-16 02C_03_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;1;22
EA.hy926 2018-03-16 02D_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;3;5
EA.hy926 2018-03-16 02D_02_c2;G;21;^ 1;1;0,3;euclidean;0,05;5;50;21;2;21
EA.hy926 2018-03-16 02D_03_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;2;10
EA.hy926 2018-03-16 02E_01_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;1;24
EA.hy926 2018-03-16 02E_02_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;1;25
EA.hy926 2018-03-16 02E_03_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;1;25
EA.hy926 2018-03-16 02F_01_c2;G;53;^ 1;1;0,3;euclidean;0,05;5;50;53;65;5
EA.hy926 2018-03-16 02F_02_c2;G;31;^ 1;1;0,3;euclidean;0,05;5;50;31;11;22
EA.hy926 2018-03-16 02F_03_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;0;12
EA.hy926 2018-03-16 03C_01_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;50;11;0;11
EA.hy926 2018-03-16 03C_02_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;0;14
EA.hy926 2018-03-16 03C_03_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;2;13
EA.hy926 2018-03-16 03D_01_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;33;4
EA.hy926 2018-03-16 03D_02_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;0;7
EA.hy926 2018-03-16 03D_03_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-03-16 03E_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;1;4
EA.hy926 2018-03-16 03E_02_c2;G;111;^ 1;1;0,3;euclidean;0,05;5;50;111;136;21
EA.hy926 2018-03-16 03E_03_c2;G;111;^ 1;1;0,3;euclidean;0,05;5;50;111;136;21
EA.hy926 2018-03-16 03F_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-03-16 03F_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;0;6
EA.hy926 2018-03-16 03F_03_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;4;6
EA.hy926 2018-03-16 04C_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;0;17
EA.hy926 2018-03-16 04C_02_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-03-16 04C_03_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;0;12
EA.hy926 2018-03-16 04D_01_c2;G;75;^ 1;1;0,3;euclidean;0,05;5;50;75;75;13
EA.hy926 2018-03-16 04D_02_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-03-16 04D_03_c2;G;134;^ 1;1;0,3;euclidean;0,05;5;50;134;96;20
EA.hy926 2018-03-16 04E_01_c2;G;98;^ 1;1;0,3;euclidean;0,05;5;50;98;135;7
EA.hy926 2018-03-16 04E_02_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;0;15
EA.hy926 2018-03-16 04E_03_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;2;9
EA.hy926 2018-03-16 04F_01_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;0;8
EA.hy926 2018-03-16 04F_02_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;0;20
EA.hy926 2018-03-16 04F_03_c2;G;48;^ 1;1;0,3;euclidean;0,05;5;50;48;0;48
EA.hy926 2018-03-16 05C_01_c2;G;48;^ 1;1;0,3;euclidean;0,05;5;50;48;2;48
EA.hy926 2018-03-16 05C_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
