name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-20 02C_01_c2;G;57;^ 1;1;0,3;euclidean;0,05;5;50;57;20;57
EA.hy926 2018-04-20 02C_02_c2;G;54;^ 1;1;0,3;euclidean;0,05;5;50;54;13;54
EA.hy926 2018-04-20 02C_03_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;3;17
EA.hy926 2018-04-20 02D_01_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;5;26
EA.hy926 2018-04-20 02D_02_c2;G;43;^ 1;1;0,3;euclidean;0,05;5;50;43;8;43
EA.hy926 2018-04-20 02D_03_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;11;26
EA.hy926 2018-04-20 02E_01_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;8;37
EA.hy926 2018-04-20 02E_02_c2;G;48;^ 1;1;0,3;euclidean;0,05;5;50;48;3;48
EA.hy926 2018-04-20 02E_03_c2;G;49;^ 1;1;0,3;euclidean;0,05;5;50;49;5;49
EA.hy926 2018-04-20 02F_01_c2;G;37;^ 1;1;0,3;euclidean;0,05;5;50;37;4;34
EA.hy926 2018-04-20 02F_02_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;3;6
EA.hy926 2018-04-20 02F_03_c2;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;3;29
EA.hy926 2018-04-20 03C_01_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;0;19
EA.hy926 2018-04-20 03C_02_c2;G;38;^ 1;1;0,3;euclidean;0,05;5;50;38;9;38
EA.hy926 2018-04-20 03C_03_c2;G;41;^ 1;1;0,3;euclidean;0,05;5;50;41;3;41
EA.hy926 2018-04-20 03D_01_c2;G;41;^ 1;1;0,3;euclidean;0,05;5;50;41;8;41
EA.hy926 2018-04-20 03D_02_c2;G;59;^ 1;1;0,3;euclidean;0,05;5;50;59;30;59
EA.hy926 2018-04-20 03D_03_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;13;13
EA.hy926 2018-04-20 03E_01_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;13;34
EA.hy926 2018-04-20 03E_02_c2;G;43;^ 1;1;0,3;euclidean;0,05;5;50;43;8;43
EA.hy926 2018-04-20 03E_03_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;2;13
EA.hy926 2018-04-20 03F_01_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;50;7;1;7
EA.hy926 2018-04-20 03F_02_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;4;13
EA.hy926 2018-04-20 03F_03_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;3;18
EA.hy926 2018-04-20 04C_01_c2;G;25;^ 1;1;0,3;euclidean;0,05;5;50;25;1;25
EA.hy926 2018-04-20 04C_02_c2;G;46;^ 1;1;0,3;euclidean;0,05;5;50;46;15;46
EA.hy926 2018-04-20 04C_03_c2;G;40;^ 1;1;0,3;euclidean;0,05;5;50;40;6;40
EA.hy926 2018-04-20 04D_01_c2;G;39;^ 1;1;0,3;euclidean;0,05;5;50;39;27;39
EA.hy926 2018-04-20 04D_02_c2;G;93;^ 1;1;0,3;euclidean;0,05;5;50;93;35;93
EA.hy926 2018-04-20 04D_03_c2;G;55;^ 1;1;0,3;euclidean;0,05;5;50;55;36;55
EA.hy926 2018-04-20 04E_01_c2;G;34;^ 1;1;0,3;euclidean;0,05;5;50;34;5;34
EA.hy926 2018-04-20 04E_02_c2;G;46;^ 1;1;0,3;euclidean;0,05;5;50;46;13;46
EA.hy926 2018-04-20 04E_03_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;4;17
EA.hy926 2018-04-20 04F_01_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;8;27
EA.hy926 2018-04-20 04F_02_c2;G;41;^ 1;1;0,3;euclidean;0,05;5;50;41;26;41
EA.hy926 2018-04-20 04F_03_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;0;9
