name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles
EA.hy926 2018-04-24 02C_01_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;80;8;10
EA.hy926 2018-04-24 02C_02_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;80;7;6
EA.hy926 2018-04-24 02C_03_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;12
EA.hy926 2018-04-24 02D_01_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;80;12;10
EA.hy926 2018-04-24 02D_02_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;80;17;13
EA.hy926 2018-04-24 02D_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;80;4;10
EA.hy926 2018-04-24 02E_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;80;4;10
EA.hy926 2018-04-24 02E_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;80;2;6
EA.hy926 2018-04-24 02E_03_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;4
EA.hy926 2018-04-24 02F_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;5
EA.hy926 2018-04-24 02F_02_c2;G;7;^ 1;1;0,3;euclidean;0,05;5;80;7;8
EA.hy926 2018-04-24 02F_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;80;2;4
EA.hy926 2018-04-24 03C_01_c2;G;11;^ 1;1;0,3;euclidean;0,05;5;80;11;11
EA.hy926 2018-04-24 03C_02_c2;G;32;^ 1;1;0,3;euclidean;0,05;5;80;32;19
EA.hy926 2018-04-24 03C_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;80;0;0
EA.hy926 2018-04-24 03D_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;80;2;6
EA.hy926 2018-04-24 03D_02_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;80;2;6
EA.hy926 2018-04-24 03D_03_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;80;0;1
EA.hy926 2018-04-24 03E_01_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;4
EA.hy926 2018-04-24 03E_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;2
EA.hy926 2018-04-24 03E_03_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;80;2;1
EA.hy926 2018-04-24 03F_01_c2;G;0;^ 1;1;0,3;euclidean;0,05;5;80;0;2
EA.hy926 2018-04-24 03F_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;80;1;2
