name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-24 02C_01_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;0;6
EA.hy926 2018-04-24 02C_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-04-24 02C_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;1;4
EA.hy926 2018-04-24 02D_01_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;5;6
EA.hy926 2018-04-24 02D_02_c2;G;42;^ 1;1;0,3;euclidean;0,05;5;50;42;3;42
EA.hy926 2018-04-24 02D_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-04-24 02E_01_c2;G;20;^ 1;1;0,3;euclidean;0,05;5;50;20;0;20
EA.hy926 2018-04-24 02E_02_c2;G;56;^ 1;1;0,3;euclidean;0,05;5;50;56;10;56
EA.hy926 2018-04-24 02E_03_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;1;12
EA.hy926 2018-04-24 02F_01_c2;G;17;^ 1;1;0,3;euclidean;0,05;5;50;17;3;17
EA.hy926 2018-04-24 02F_02_c2;G;46;^ 1;1;0,3;euclidean;0,05;5;50;46;5;46
EA.hy926 2018-04-24 02F_03_c2;G;30;^ 1;1;0,3;euclidean;0,05;5;50;30;8;30
EA.hy926 2018-04-24 03C_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;1;4
EA.hy926 2018-04-24 03C_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;10;16
EA.hy926 2018-04-24 03C_03_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;1;5
EA.hy926 2018-04-24 03D_01_c2;G;5;^ 1;1;0,3;euclidean;0,05;5;50;5;3;5
EA.hy926 2018-04-24 03D_02_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;13
