"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"EA.hy926 2018-04-27 02C_02_c2";"G";4;"^ 1";1;0,3;"euclidean";0,05;5;80;4;0
"EA.hy926 2018-04-27 02C_03_c2";"G";7;"^ 1";1;0,3;"euclidean";0,05;5;80;7;3
"EA.hy926 2018-04-27 02D_01_c2";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;10
"EA.hy926 2018-04-27 02D_02_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;21
"EA.hy926 2018-04-27 02D_03_c2";"G";51;"^ 1";1;0,3;"euclidean";0,05;5;80;51;14
"EA.hy926 2018-04-27 02E_01_c2";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;13
"EA.hy926 2018-04-27 02E_02_c2";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;4
"EA.hy926 2018-04-27 02E_03_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;2
"EA.hy926 2018-04-27 02F_01_c2";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;12
"EA.hy926 2018-04-27 02F_02_c2";"G";18;"^ 1";1;0,3;"euclidean";0,05;5;80;18;6
"EA.hy926 2018-04-27 02F_03_c2";"G";9;"^ 1";1;0,3;"euclidean";0,05;5;80;9;6
"EA.hy926 2018-04-27 02Ñ_01";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;80;8;0
"EA.hy926 2018-04-27 03C_01_c2";"G";60;"^ 1";1;0,3;"euclidean";0,05;5;80;60;146
"EA.hy926 2018-04-27 03C_02_c2";"G";101;"^ 1";1;0,3;"euclidean";0,05;5;80;101;145
"EA.hy926 2018-04-27 03C_03_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;13
"EA.hy926 2018-04-27 03D_01_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;13
"EA.hy926 2018-04-27 03D_02_c2";"G";65;"^ 1";1;0,3;"euclidean";0,05;5;80;65;65
"EA.hy926 2018-04-27 03D_03_c2";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;18
"EA.hy926 2018-04-27 03E_01_c2";"G";80;"^ 1";1;0,3;"euclidean";0,05;5;80;80;90
"EA.hy926 2018-04-27 03E_02_c2";"G";48;"^ 1";1;0,3;"euclidean";0,05;5;80;48;7
"EA.hy926 2018-04-27 03E_03_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;16
"EA.hy926 2018-04-27 03F_01_c2";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;16
