name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles.checked
EA.hy926 2018-05-25 02C_01_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;1;12
EA.hy926 2018-05-25 02C_02_c2;G;8;^ 1;1;0,3;euclidean;0,05;5;50;8;1;8
EA.hy926 2018-05-25 02C_03_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;1;3
EA.hy926 2018-05-25 02D_01_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;1;26
EA.hy926 2018-05-25 02D_02_c2;G;16;^ 1;1;0,3;euclidean;0,05;5;50;16;0;16
EA.hy926 2018-05-25 02D_03_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;1;24
EA.hy926 2018-05-25 02E_01_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;0;15
EA.hy926 2018-05-25 02E_02_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;3;19
EA.hy926 2018-05-25 02E_03_c2;G;28;^ 1;1;0,3;euclidean;0,05;5;50;28;4;28
EA.hy926 2018-05-25 02F_01_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;3;24
EA.hy926 2018-05-25 02F_02_c2;G;24;^ 1;1;0,3;euclidean;0,05;5;50;24;1;24
EA.hy926 2018-05-25 02F_03_c2;G;33;^ 1;1;0,3;euclidean;0,05;5;50;33;47;22
EA.hy926 2018-05-25 03C_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-05-25 03C_02_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;2;4
EA.hy926 2018-05-25 03C_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-05-25 03D_01_c2;G;15;^ 1;1;0,3;euclidean;0,05;5;50;15;2;15
EA.hy926 2018-05-25 03D_02_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;1;14
EA.hy926 2018-05-25 03D_03_c2;G;19;^ 1;1;0,3;euclidean;0,05;5;50;19;1;19
