name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;checked.circles
EA.hy926 2018-05-25 02C_01_c2;G;2;^ 1;1;0,3;euclidean;0,05;5;50;2;0;2
EA.hy926 2018-05-25 02D_01_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;4;18
EA.hy926 2018-05-25 02D_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-05-25 02E_01_c2;G;26;^ 1;1;0,3;euclidean;0,05;5;50;26;1;26
EA.hy926 2018-05-25 02E_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;3;1
EA.hy926 2018-05-25 02F_01_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;1;4
EA.hy926 2018-05-25 02F_02_c2;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;4;27
EA.hy926 2018-05-25 02F_03_c2;G;3;^ 1;1;0,3;euclidean;0,05;5;50;3;0;3
EA.hy926 2018-05-25 03C_01_c2;G;18;^ 1;1;0,3;euclidean;0,05;5;50;18;1;18
EA.hy926 2018-05-25 03C_02_c2;G;1;^ 1;1;0,3;euclidean;0,05;5;50;1;0;1
EA.hy926 2018-05-25 03C_03_c2;G;4;^ 1;1;0,3;euclidean;0,05;5;50;4;0;4
EA.hy926 2018-05-25 03D_01_c2;G;13;^ 1;1;0,3;euclidean;0,05;5;50;13;0;13
EA.hy926 2018-05-25 03D_02_c2;G;6;^ 1;1;0,3;euclidean;0,05;5;50;6;1;6
EA.hy926 2018-05-25 03D_03_c2;G;12;^ 1;1;0,3;euclidean;0,05;5;50;12;4;12
EA.hy926 2018-05-25 03E_01_c2;G;14;^ 1;1;0,3;euclidean;0,05;5;50;14;1;14
EA.hy926 2018-05-25 03E_02_c2;G;9;^ 1;1;0,3;euclidean;0,05;5;50;9;13;9
