"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01_c2";"G";220;"^ 0.5";1;0,3;"euclidean";0,05;5;20;220;8
"B4_02_c2";"G";195;"^ 0.5";1;0,3;"euclidean";0,05;5;20;195;5
"B4_03_c2";"G";194;"^ 0.5";1;0,3;"euclidean";0,05;5;20;194;9
"C4_01_c2";"G";107;"^ 0.5";1;0,3;"euclidean";0,05;5;20;107;5
"C4_02_c2";"G";157;"^ 0.5";1;0,3;"euclidean";0,05;5;20;157;8
"C4_03_c2";"G";121;"^ 0.5";1;0,3;"euclidean";0,05;5;20;121;30
"D4_01_c2";"G";145;"^ 0.5";1;0,3;"euclidean";0,05;5;20;145;5
"D4_02_c2";"G";238;"^ 0.5";1;0,3;"euclidean";0,05;5;20;238;10
"D4_03_c2";"G";34;"^ 0.5";1;0,3;"euclidean";0,05;5;20;34;4
"E4_01_c2";"G";284;"^ 0.5";1;0,3;"euclidean";0,05;5;20;284;7
"E4_02_c2";"G";285;"^ 0.5";1;0,3;"euclidean";0,05;5;20;285;12
"E4_03_c2";"G";203;"^ 0.5";1;0,3;"euclidean";0,05;5;20;203;7
"F4_01_c2";"G";338;"^ 0.5";1;0,3;"euclidean";0,05;5;20;338;12
"F4_02_c2";"G";270;"^ 0.5";1;0,3;"euclidean";0,05;5;20;270;9
"F4_03_c2";"G";171;"^ 0.5";1;0,3;"euclidean";0,05;5;20;171;8
"G4_01_c2";"G";174;"^ 0.5";1;0,3;"euclidean";0,05;5;20;174;10
"G4_02_c2";"G";179;"^ 0.5";1;0,3;"euclidean";0,05;5;20;179;6
"G4_03_c2";"G";117;"^ 0.5";1;0,3;"euclidean";0,05;5;20;117;32
