"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;298
"B6_02_c2";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;271
"B6_03_c2";"G";13;"^ 1";1;0,3;"euclidean";0,05;5;80;13;120
"C6_01_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;201
"C6_02_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;246
"C6_03_c2";"G";54;"^ 1";1;0,3;"euclidean";0,05;5;80;54;80
"D6_01_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;85
"D6_02_c2";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;72
"D6_03_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;141
"E6_01_c2";"G";61;"^ 1";1;0,3;"euclidean";0,05;5;80;61;48
"E6_02_c2";"G";114;"^ 1";1;0,3;"euclidean";0,05;5;80;114;95
"E6_03_c2";"G";51;"^ 1";1;0,3;"euclidean";0,05;5;80;51;109
"F6_01_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;80
"F6_02_c2";"G";141;"^ 1";1;0,3;"euclidean";0,05;5;80;141;104
"F6_03_c2";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;77
"G6_01_c2";"G";48;"^ 1";1;0,3;"euclidean";0,05;5;80;48;168
"G6_02_c2";"G";67;"^ 1";1;0,3;"euclidean";0,05;5;80;67;248
"G6_03_c2";"G";74;"^ 1";1;0,3;"euclidean";0,05;5;80;74;71
