"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01_c2";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;178
"B3_02_c2";"G";32;"^ 1";1;0,3;"euclidean";0,05;5;80;32;257
"B3_03_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;144
"C3_01_c2";"G";45;"^ 1";1;0,3;"euclidean";0,05;5;80;45;252
"C3_02_c2";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;247
"C3_03_c2";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;166
"D3_01_c2";"G";50;"^ 1";1;0,3;"euclidean";0,05;5;80;50;185
"D3_02_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;399
"D3_03_c2";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;179
"E3_01_c2";"G";54;"^ 1";1;0,3;"euclidean";0,05;5;80;54;174
"E3_02_c2";"G";32;"^ 1";1;0,3;"euclidean";0,05;5;80;32;237
"E3_03_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;200
"F3_01_c2";"G";51;"^ 1";1;0,3;"euclidean";0,05;5;80;51;220
"F3_02_c2";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;212
"F3_03_c2";"G";5;"^ 1";1;0,3;"euclidean";0,05;5;80;5;100
"G3_01_c2";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;272
"G3_02_c2";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;334
"G3_03_c2";"G";54;"^ 1";1;0,3;"euclidean";0,05;5;80;54;281
