"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;162
"B4_02_c2";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;146
"B4_03_c2";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;166
"C4_01_c2";"G";65;"^ 1";1;0,3;"euclidean";0,05;5;80;65;43
"C4_02_c2";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;96
"C4_03_c2";"G";50;"^ 1";1;0,3;"euclidean";0,05;5;80;50;69
"D4_01_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;95
"D4_02_c2";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;162
"D4_03_c2";"G";2;"^ 1";1;0,3;"euclidean";0,05;5;80;2;24
"E4_01_c2";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;223
"E4_02_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;231
"E4_03_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;153
"F4_01_c2";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;267
"F4_02_c2";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;209
"F4_03_c2";"G";10;"^ 1";1;0,3;"euclidean";0,05;5;80;10;141
"G4_01_c2";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;136
"G4_02_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;142
"G4_03_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;93
