"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;229
"B5_02_c2";"G";6;"^ 1";1;0,3;"euclidean";0,05;5;80;6;205
"B5_03_c2";"G";2;"^ 1";1;0,3;"euclidean";0,05;5;80;2;48
"C5_01_c2";"G";50;"^ 1";1;0,3;"euclidean";0,05;5;80;50;285
"C5_02_c2";"G";48;"^ 1";1;0,3;"euclidean";0,05;5;80;48;292
"C5_03_c2";"G";45;"^ 1";1;0,3;"euclidean";0,05;5;80;45;215
"D5_01_c2";"G";46;"^ 1";1;0,3;"euclidean";0,05;5;80;46;305
"D5_02_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;313
"D5_03_c2";"G";10;"^ 1";1;0,3;"euclidean";0,05;5;80;10;171
"E5_01_c2";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;107
"E5_02_c2";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;169
"E5_03_c2";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;81
"F5_01_c2";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;113
"F5_02_c2";"G";15;"^ 1";1;0,3;"euclidean";0,05;5;80;15;43
"F5_03_c2";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;80;8;36
"G5_01_c2";"G";56;"^ 1";1;0,3;"euclidean";0,05;5;80;56;45
"G5_02_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;75
"G5_03_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;61
