"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;102
"B7_02_c2";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;71
"B7_03_c2";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;96
"C7_01_c2";"G";52;"^ 1";1;0,3;"euclidean";0,05;5;80;52;197
"C7_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;169
"C7_03_c2";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;72
"D7_01_c2";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;224
"D7_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;222
"D7_03_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;115
"E7_01_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;136
"E7_02_c2";"G";21;"^ 1";1;0,3;"euclidean";0,05;5;80;21;101
"E7_03_c2";"G";18;"^ 1";1;0,3;"euclidean";0,05;5;80;18;135
"F7_01_c2";"G";57;"^ 1";1;0,3;"euclidean";0,05;5;80;57;47
"F7_02_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;15
"F7_03_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;104
"G7_01_c2";"G";22;"^ 1";1;0,3;"euclidean";0,05;5;80;22;142
"G7_02_c2";"G";13;"^ 1";1;0,3;"euclidean";0,05;5;80;13;102
"G7_03_c2";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;102
