"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01_c2";"G";636;"^ 0.5";1;0,3;"euclidean";0,05;5;20;636;186
"B3_02_c2";"G";644;"^ 0.5";1;0,3;"euclidean";0,05;5;20;644;142
"B3_03_c2";"G";283;"^ 0.5";1;0,3;"euclidean";0,05;5;20;283;61
"C3_01_c2";"G";686;"^ 0.5";1;0,3;"euclidean";0,05;5;20;686;182
"C3_02_c2";"G";671;"^ 0.5";1;0,3;"euclidean";0,05;5;20;671;191
"C3_03_c2";"G";124;"^ 0.5";1;0,3;"euclidean";0,05;5;20;124;29
"D3_01_c2";"G";541;"^ 0.5";1;0,3;"euclidean";0,05;5;20;541;150
"D3_02_c2";"G";460;"^ 0.5";1;0,3;"euclidean";0,05;5;20;460;151
"D3_03_c2";"G";263;"^ 0.5";1;0,3;"euclidean";0,05;5;20;263;44
"E3_01_c2";"G";547;"^ 0.5";1;0,3;"euclidean";0,05;5;20;547;148
"E3_02_c2";"G";397;"^ 0.5";1;0,3;"euclidean";0,05;5;20;397;91
"E3_03_c2";"G";191;"^ 0.5";1;0,3;"euclidean";0,05;5;20;191;48
"F3_01_c2";"G";737;"^ 0.5";1;0,3;"euclidean";0,05;5;20;737;260
"F3_02_c2";"G";573;"^ 0.5";1;0,3;"euclidean";0,05;5;20;573;193
"F3_03_c2";"G";306;"^ 0.5";1;0,3;"euclidean";0,05;5;20;306;72
"G3_01_c2";"G";549;"^ 0.5";1;0,3;"euclidean";0,05;5;20;549;129
"G3_02_c2";"G";441;"^ 0.5";1;0,3;"euclidean";0,05;5;20;441;156
"G3_03_c2";"G";115;"^ 0.5";1;0,3;"euclidean";0,05;5;20;115;26
