"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01_c2";"G";493;"^ 0.5";1;0,3;"euclidean";0,05;5;20;493;165
"B4_02_c2";"G";449;"^ 0.5";1;0,3;"euclidean";0,05;5;20;449;153
"B4_03_c2";"G";193;"^ 0.5";1;0,3;"euclidean";0,05;5;20;193;44
"C4_01_c2";"G";620;"^ 0.5";1;0,3;"euclidean";0,05;5;20;620;157
"C4_02_c2";"G";623;"^ 0.5";1;0,3;"euclidean";0,05;5;20;623;129
"C4_03_c2";"G";248;"^ 0.5";1;0,3;"euclidean";0,05;5;20;248;35
"D4_01_c2";"G";607;"^ 0.5";1;0,3;"euclidean";0,05;5;20;607;153
"D4_02_c2";"G";553;"^ 0.5";1;0,3;"euclidean";0,05;5;20;553;152
"D4_03_c2";"G";228;"^ 0.5";1;0,3;"euclidean";0,05;5;20;228;56
"E4_01_c2";"G";514;"^ 0.5";1;0,3;"euclidean";0,05;5;20;514;157
"E4_02_c2";"G";337;"^ 0.5";1;0,3;"euclidean";0,05;5;20;337;77
"E4_03_c2";"G";187;"^ 0.5";1;0,3;"euclidean";0,05;5;20;187;37
"F4_01_c2";"G";583;"^ 0.5";1;0,3;"euclidean";0,05;5;20;583;184
"F4_02_c2";"G";478;"^ 0.5";1;0,3;"euclidean";0,05;5;20;478;137
"F4_03_c2";"G";156;"^ 0.5";1;0,3;"euclidean";0,05;5;20;156;45
"G4_01_c2";"G";542;"^ 0.5";1;0,3;"euclidean";0,05;5;20;542;163
"G4_02_c2";"G";443;"^ 0.5";1;0,3;"euclidean";0,05;5;20;443;175
"G4_03_c2";"G";204;"^ 0.5";1;0,3;"euclidean";0,05;5;20;204;70
