"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;95
"B2_02_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;212
"B2_03_c2";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;88
"C2_01_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;182
"C2_02_c2";"G";125;"^ 1";1;0,3;"euclidean";0,05;5;80;125;479
"C2_03_c2";"G";9;"^ 1";1;0,3;"euclidean";0,05;5;80;9;78
"D2_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;189
"D2_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;241
"D2_03_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;111
"E2_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;93
"E2_02_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;135
"E2_03_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;48
"F2_01_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;138
"F2_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;195
"F2_03_c2";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;103
"G2_01_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;111
"G2_02_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;193
"G2_03_c2";"G";10;"^ 1";1;0,3;"euclidean";0,05;5;80;10;33
