"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;382
"B6_02_c2";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;125
"B6_03_c2";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;156
"C6_01_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;256
"C6_02_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;337
"C6_03_c2";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;111
"D6_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;339
"D6_02_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;318
"D6_03_c2";"G";17;"^ 1";1;0,3;"euclidean";0,05;5;80;17;45
"E6_01_c2";"G";19;"^ 1";1;0,3;"euclidean";0,05;5;80;19;220
"E6_02_c2";"G";48;"^ 1";1;0,3;"euclidean";0,05;5;80;48;219
"E6_03_c2";"G";11;"^ 1";1;0,3;"euclidean";0,05;5;80;11;80
"F6_01_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;277
"F6_02_c2";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;272
"F6_03_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;116
"G6_01_c2";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;253
"G6_02_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;218
"G6_03_c2";"G";18;"^ 1";1;0,3;"euclidean";0,05;5;80;18;100
