"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;437
"B3_02_c2";"G";40;"^ 1";1;0,3;"euclidean";0,05;5;80;40;451
"B3_03_c2";"G";27;"^ 1";1;0,3;"euclidean";0,05;5;80;27;213
"C3_01_c2";"G";64;"^ 1";1;0,3;"euclidean";0,05;5;80;64;418
"C3_02_c2";"G";52;"^ 1";1;0,3;"euclidean";0,05;5;80;52;442
"C3_03_c2";"G";11;"^ 1";1;0,3;"euclidean";0,05;5;80;11;84
"D3_01_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;363
"D3_02_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;331
"D3_03_c2";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;167
"E3_01_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;374
"E3_02_c2";"G";17;"^ 1";1;0,3;"euclidean";0,05;5;80;17;259
"E3_03_c2";"G";14;"^ 1";1;0,3;"euclidean";0,05;5;80;14;123
"F3_01_c2";"G";60;"^ 1";1;0,3;"euclidean";0,05;5;80;60;508
"F3_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;456
"F3_03_c2";"G";64;"^ 1";1;0,3;"euclidean";0,05;5;80;64;195
"G3_01_c2";"G";29;"^ 1";1;0,3;"euclidean";0,05;5;80;29;379
"G3_02_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;299
"G3_03_c2";"G";10;"^ 1";1;0,3;"euclidean";0,05;5;80;10;67
