"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01_c2";"G";40;"^ 1";1;0,3;"euclidean";0,05;5;80;40;359
"B4_02_c2";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;353
"B4_03_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;146
"C4_01_c2";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;415
"C4_02_c2";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;416
"C4_03_c2";"G";31;"^ 1";1;0,3;"euclidean";0,05;5;80;31;182
"D4_01_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;466
"D4_02_c2";"G";18;"^ 1";1;0,3;"euclidean";0,05;5;80;18;407
"D4_03_c2";"G";59;"^ 1";1;0,3;"euclidean";0,05;5;80;59;136
"E4_01_c2";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;346
"E4_02_c2";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;203
"E4_03_c2";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;124
"F4_01_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;417
"F4_02_c2";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;355
"F4_03_c2";"G";7;"^ 1";1;0,3;"euclidean";0,05;5;80;7;92
"G4_01_c2";"G";32;"^ 1";1;0,3;"euclidean";0,05;5;80;32;368
"G4_02_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;321
"G4_03_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;164
