"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01_c2";"G";52;"^ 1";1;0,3;"euclidean";0,05;5;80;52;494
"B5_02_c2";"G";13;"^ 1";1;0,3;"euclidean";0,05;5;80;13;239
"B5_03_c2";"G";12;"^ 1";1;0,3;"euclidean";0,05;5;80;12;99
"C5_01_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;433
"C5_02_c2";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;432
"C5_03_c2";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;131
"D5_01_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;463
"D5_02_c2";"G";18;"^ 1";1;0,3;"euclidean";0,05;5;80;18;263
"D5_03_c2";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;122
"E5_01_c2";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;328
"E5_02_c2";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;274
"E5_03_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;133
"F5_01_c2";"G";34;"^ 1";1;0,3;"euclidean";0,05;5;80;34;284
"F5_02_c2";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;284
"F5_03_c2";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;122
"G5_01_c2";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;451
"G5_02_c2";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;495
"G5_03_c2";"G";30;"^ 1";1;0,3;"euclidean";0,05;5;80;30;157
