"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;540
"B7_02_c2";"G";48;"^ 1";1;0,3;"euclidean";0,05;5;80;48;338
"B7_03_c2";"G";25;"^ 1";1;0,3;"euclidean";0,05;5;80;25;200
"C7_01_c2";"G";43;"^ 1";1;0,3;"euclidean";0,05;5;80;43;291
"C7_02_c2";"G";17;"^ 1";1;0,3;"euclidean";0,05;5;80;17;171
"C7_03_c2";"G";22;"^ 1";1;0,3;"euclidean";0,05;5;80;22;132
"D7_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;412
"D7_02_c2";"G";9;"^ 1";1;0,3;"euclidean";0,05;5;80;9;84
"D7_03_c2";"G";6;"^ 1";1;0,3;"euclidean";0,05;5;80;6;90
"E7_01_c2";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;349
"E7_02_c2";"G";41;"^ 1";1;0,3;"euclidean";0,05;5;80;41;221
"E7_03_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;147
"F7_01_c2";"G";39;"^ 1";1;0,3;"euclidean";0,05;5;80;39;265
"F7_02_c2";"G";23;"^ 1";1;0,3;"euclidean";0,05;5;80;23;187
"F7_03_c2";"G";8;"^ 1";1;0,3;"euclidean";0,05;5;80;8;91
"G7_01_c2";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;209
"G7_02_c2";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;220
"G7_03_c2";"G";17;"^ 1";1;0,3;"euclidean";0,05;5;80;17;146
