"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";1047;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1047;492
"B3_02";"G";1016;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1016;463
"B3_03";"G";892;"^ 0.5";1;0,3;"euclidean";0,05;5;20;892;323
"C3_01";"G";1212;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1212;444
"C3_02";"G";1556;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1556;575
"C3_03";"G";1290;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1290;515
"D3_01";"G";1110;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1110;423
"D3_02";"G";992;"^ 0.5";1;0,3;"euclidean";0,05;5;20;992;610
"D3_03";"G";1064;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1064;344
"E3_01";"G";1370;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1370;522
"E3_02";"G";1396;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1396;502
"E3_03";"G";1195;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1195;319
"F3_01";"G";996;"^ 0.5";1;0,3;"euclidean";0,05;5;20;996;494
"F3_02";"G";1094;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1094;538
"F3_03";"G";1065;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1065;420
"G3_01";"G";990;"^ 0.5";1;0,3;"euclidean";0,05;5;20;990;295
"G3_02";"G";1339;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1339;395
"G3_03";"G";771;"^ 0.5";1;0,3;"euclidean";0,05;5;20;771;177
