"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";948;"^ 0.5";1;0,3;"euclidean";0,05;5;20;948;299
"B5_02";"G";1270;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1270;345
"B5_03";"G";1053;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1053;289
"C5_01";"G";839;"^ 0.5";1;0,3;"euclidean";0,05;5;20;839;273
"C5_02";"G";922;"^ 0.5";1;0,3;"euclidean";0,05;5;20;922;391
"C5_03";"G";563;"^ 0.5";1;0,3;"euclidean";0,05;5;20;563;207
"D5_01";"G";814;"^ 0.5";1;0,3;"euclidean";0,05;5;20;814;223
"D5_02";"G";1224;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1224;375
"D5_03";"G";942;"^ 0.5";1;0,3;"euclidean";0,05;5;20;942;228
"E5_01";"G";634;"^ 0.5";1;0,3;"euclidean";0,05;5;20;634;158
"E5_02";"G";1137;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1137;225
"E5_03";"G";735;"^ 0.5";1;0,3;"euclidean";0,05;5;20;735;130
"F5_01";"G";602;"^ 0.5";1;0,3;"euclidean";0,05;5;20;602;170
"F5_02";"G";908;"^ 0.5";1;0,3;"euclidean";0,05;5;20;908;375
"F5_03";"G";1022;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1022;398
"G5_01";"G";796;"^ 0.5";1;0,3;"euclidean";0,05;5;20;796;204
"G5_02";"G";1119;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1119;231
"G5_03";"G";303;"^ 0.5";1;0,3;"euclidean";0,05;5;20;303;91
