"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";1095;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1095;397
"B7_02";"G";994;"^ 0.5";1;0,3;"euclidean";0,05;5;20;994;435
"B7_03";"G";891;"^ 0.5";1;0,3;"euclidean";0,05;5;20;891;365
"C7_01";"G";865;"^ 0.5";1;0,3;"euclidean";0,05;5;20;865;294
"C7_02";"G";1016;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1016;407
"C7_03";"G";885;"^ 0.5";1;0,3;"euclidean";0,05;5;20;885;285
"D7_01";"G";1009;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1009;321
"D7_02";"G";1175;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1175;473
"D7_03";"G";1139;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1139;340
"E7_01";"G";1148;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1148;279
"E7_02";"G";1151;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1151;294
"E7_03";"G";1179;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1179;185
"F7_01";"G";807;"^ 0.5";1;0,3;"euclidean";0,05;5;20;807;112
"F7_02";"G";619;"^ 0.5";1;0,3;"euclidean";0,05;5;20;619;58
"F7_03";"G";705;"^ 0.5";1;0,3;"euclidean";0,05;5;20;705;89
"G7_01";"G";753;"^ 0.5";1;0,3;"euclidean";0,05;5;20;753;87
"G7_02";"G";982;"^ 0.5";1;0,3;"euclidean";0,05;5;20;982;147
"G7_03";"G";733;"^ 0.5";1;0,3;"euclidean";0,05;5;20;733;79
