"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";105;"^ 1";1;0,3;"euclidean";0,05;5;80;105;772
"B7_02";"G";120;"^ 1";1;0,3;"euclidean";0,05;5;80;120;651
"B7_03";"G";101;"^ 1";1;0,3;"euclidean";0,05;5;80;101;639
"C7_01";"G";94;"^ 1";1;0,3;"euclidean";0,05;5;80;94;622
"C7_02";"G";101;"^ 1";1;0,3;"euclidean";0,05;5;80;101;764
"C7_03";"G";91;"^ 1";1;0,3;"euclidean";0,05;5;80;91;512
"D7_01";"G";99;"^ 1";1;0,3;"euclidean";0,05;5;80;99;749
"D7_02";"G";86;"^ 1";1;0,3;"euclidean";0,05;5;80;86;874
"D7_03";"G";98;"^ 1";1;0,3;"euclidean";0,05;5;80;98;947
"E7_01";"G";156;"^ 1";1;0,3;"euclidean";0,05;5;80;156;1094
"E7_02";"G";157;"^ 1";1;0,3;"euclidean";0,05;5;80;157;1032
"E7_03";"G";132;"^ 1";1;0,3;"euclidean";0,05;5;80;132;952
"F7_01";"G";79;"^ 1";1;0,3;"euclidean";0,05;5;80;79;541
"F7_02";"G";66;"^ 1";1;0,3;"euclidean";0,05;5;80;66;440
"F7_03";"G";76;"^ 1";1;0,3;"euclidean";0,05;5;80;76;505
"G7_01";"G";83;"^ 1";1;0,3;"euclidean";0,05;5;80;83;502
"G7_02";"G";91;"^ 1";1;0,3;"euclidean";0,05;5;80;91;669
"G7_03";"G";65;"^ 1";1;0,3;"euclidean";0,05;5;80;65;560
