"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B2_01";"G";122;"^ 1";1;0,3;"euclidean";0,05;5;80;122;502
"B2_02";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;538
"B2_03";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;490
"C2_01";"G";113;"^ 1";1;0,3;"euclidean";0,05;5;80;113;603
"C2_02";"G";115;"^ 1";1;0,3;"euclidean";0,05;5;80;115;823
"C2_03";"G";107;"^ 1";1;0,3;"euclidean";0,05;5;80;107;746
"D2_01";"G";88;"^ 1";1;0,3;"euclidean";0,05;5;80;88;817
"D2_02";"G";197;"^ 1";1;0,3;"euclidean";0,05;5;80;197;1373
"D2_03";"G";107;"^ 1";1;0,3;"euclidean";0,05;5;80;107;837
"E2_01";"G";91;"^ 1";1;0,3;"euclidean";0,05;5;80;91;575
"E2_02";"G";129;"^ 1";1;0,3;"euclidean";0,05;5;80;129;581
"E2_03";"G";104;"^ 1";1;0,3;"euclidean";0,05;5;80;104;490
"F2_01";"G";93;"^ 1";1;0,3;"euclidean";0,05;5;80;93;738
"F2_02";"G";130;"^ 1";1;0,3;"euclidean";0,05;5;80;130;870
"F2_03";"G";80;"^ 1";1;0,3;"euclidean";0,05;5;80;80;605
"G2_01";"G";95;"^ 1";1;0,3;"euclidean";0,05;5;80;95;779
"G2_02";"G";105;"^ 1";1;0,3;"euclidean";0,05;5;80;105;693
"G2_03";"G";129;"^ 1";1;0,3;"euclidean";0,05;5;80;129;659
