"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;289
"B6_02";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;353
"B6_03";"G";37;"^ 1";1;0,3;"euclidean";0,05;5;80;37;245
"C6_01";"G";56;"^ 1";1;0,3;"euclidean";0,05;5;80;56;239
"C6_02";"G";54;"^ 1";1;0,3;"euclidean";0,05;5;80;54;324
"C6_03";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;272
"D6_01";"G";24;"^ 1";1;0,3;"euclidean";0,05;5;80;24;91
"D6_02";"G";26;"^ 1";1;0,3;"euclidean";0,05;5;80;26;126
"D6_03";"G";10;"^ 1";1;0,3;"euclidean";0,05;5;80;10;80
"E6_01";"G";36;"^ 1";1;0,3;"euclidean";0,05;5;80;36;221
"E6_02";"G";45;"^ 1";1;0,3;"euclidean";0,05;5;80;45;243
"E6_03";"G";45;"^ 1";1;0,3;"euclidean";0,05;5;80;45;201
"F6_01";"G";28;"^ 1";1;0,3;"euclidean";0,05;5;80;28;132
"F6_02";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;159
"F6_03";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;185
"G6_01";"G";92;"^ 1";1;0,3;"euclidean";0,05;5;80;92;162
"G6_02";"G";44;"^ 1";1;0,3;"euclidean";0,05;5;80;44;179
"G6_03";"G";35;"^ 1";1;0,3;"euclidean";0,05;5;80;35;152
