"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";69;"^ 1";1;0,3;"euclidean";0,05;5;80;69;631
"B3_02";"G";72;"^ 1";1;0,3;"euclidean";0,05;5;80;72;658
"B3_03";"G";59;"^ 1";1;0,3;"euclidean";0,05;5;80;59;581
"C3_01";"G";77;"^ 1";1;0,3;"euclidean";0,05;5;80;77;576
"C3_02";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;503
"C3_03";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;475
"D3_01";"G";77;"^ 1";1;0,3;"euclidean";0,05;5;80;77;448
"D3_02";"G";64;"^ 1";1;0,3;"euclidean";0,05;5;80;64;446
"D3_03";"G";59;"^ 1";1;0,3;"euclidean";0,05;5;80;59;500
"E3_01";"G";73;"^ 1";1;0,3;"euclidean";0,05;5;80;73;566
"E3_02";"G";73;"^ 1";1;0,3;"euclidean";0,05;5;80;73;549
"E3_03";"G";75;"^ 1";1;0,3;"euclidean";0,05;5;80;75;578
"F3_01";"G";63;"^ 1";1;0,3;"euclidean";0,05;5;80;63;392
"F3_02";"G";60;"^ 1";1;0,3;"euclidean";0,05;5;80;60;419
"F3_03";"G";47;"^ 1";1;0,3;"euclidean";0,05;5;80;47;484
"G3_01";"G";77;"^ 1";1;0,3;"euclidean";0,05;5;80;77;456
"G3_02";"G";82;"^ 1";1;0,3;"euclidean";0,05;5;80;82;448
"G3_03";"G";90;"^ 1";1;0,3;"euclidean";0,05;5;80;90;702
