"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;381
"B4_02";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;350
"B4_03";"G";21;"^ 1";1;0,3;"euclidean";0,05;5;80;21;261
"C4_01";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;437
"C4_02";"G";68;"^ 1";1;0,3;"euclidean";0,05;5;80;68;471
"C4_03";"G";56;"^ 1";1;0,3;"euclidean";0,05;5;80;56;509
"D4_01";"G";55;"^ 1";1;0,3;"euclidean";0,05;5;80;55;409
"D4_02";"G";69;"^ 1";1;0,3;"euclidean";0,05;5;80;69;367
"D4_03";"G";50;"^ 1";1;0,3;"euclidean";0,05;5;80;50;472
"E4_01";"G";68;"^ 1";1;0,3;"euclidean";0,05;5;80;68;446
"E4_02";"G";69;"^ 1";1;0,3;"euclidean";0,05;5;80;69;469
"E4_03";"G";68;"^ 1";1;0,3;"euclidean";0,05;5;80;68;533
"F4_01";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;226
"F4_02";"G";73;"^ 1";1;0,3;"euclidean";0,05;5;80;73;425
"F4_03";"G";58;"^ 1";1;0,3;"euclidean";0,05;5;80;58;565
"G4_01";"G";61;"^ 1";1;0,3;"euclidean";0,05;5;80;61;379
"G4_02";"G";73;"^ 1";1;0,3;"euclidean";0,05;5;80;73;447
"G4_03";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;573
