"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";56;"^ 1";1;0,3;"euclidean";0,05;5;80;56;409
"B5_02";"G";68;"^ 1";1;0,3;"euclidean";0,05;5;80;68;416
"B5_03";"G";33;"^ 1";1;0,3;"euclidean";0,05;5;80;33;268
"C5_01";"G";82;"^ 1";1;0,3;"euclidean";0,05;5;80;82;497
"C5_02";"G";63;"^ 1";1;0,3;"euclidean";0,05;5;80;63;486
"C5_03";"G";42;"^ 1";1;0,3;"euclidean";0,05;5;80;42;514
"D5_01";"G";63;"^ 1";1;0,3;"euclidean";0,05;5;80;63;389
"D5_02";"G";67;"^ 1";1;0,3;"euclidean";0,05;5;80;67;481
"D5_03";"G";51;"^ 1";1;0,3;"euclidean";0,05;5;80;51;501
"E5_01";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;355
"E5_02";"G";64;"^ 1";1;0,3;"euclidean";0,05;5;80;64;410
"E5_03";"G";49;"^ 1";1;0,3;"euclidean";0,05;5;80;49;359
"F5_01";"G";70;"^ 1";1;0,3;"euclidean";0,05;5;80;70;474
"F5_02";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;503
"F5_03";"G";61;"^ 1";1;0,3;"euclidean";0,05;5;80;61;474
"G5_01";"G";57;"^ 1";1;0,3;"euclidean";0,05;5;80;57;411
"G5_02";"G";53;"^ 1";1;0,3;"euclidean";0,05;5;80;53;405
"G5_03";"G";38;"^ 1";1;0,3;"euclidean";0,05;5;80;38;464
