"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";432;"^ 0.5";1;0,3;"euclidean";0,05;5;20;432;59
"B6_02";"G";547;"^ 0.5";1;0,3;"euclidean";0,05;5;20;547;91
"B6_03";"G";339;"^ 0.5";1;0,3;"euclidean";0,05;5;20;339;46
"C6_01";"G";376;"^ 0.5";1;0,3;"euclidean";0,05;5;20;376;47
"C6_02";"G";473;"^ 0.5";1;0,3;"euclidean";0,05;5;20;473;66
"C6_03";"G";409;"^ 0.5";1;0,3;"euclidean";0,05;5;20;409;75
"D6_01";"G";146;"^ 0.5";1;0,3;"euclidean";0,05;5;20;146;22
"D6_02";"G";201;"^ 0.5";1;0,3;"euclidean";0,05;5;20;201;41
"D6_03";"G";106;"^ 0.5";1;0,3;"euclidean";0,05;5;20;106;16
"E6_01";"G";293;"^ 0.5";1;0,3;"euclidean";0,05;5;20;293;38
"E6_02";"G";330;"^ 0.5";1;0,3;"euclidean";0,05;5;20;330;41
"E6_03";"G";296;"^ 0.5";1;0,3;"euclidean";0,05;5;20;296;34
"F6_01";"G";166;"^ 0.5";1;0,3;"euclidean";0,05;5;20;166;24
"F6_02";"G";214;"^ 0.5";1;0,3;"euclidean";0,05;5;20;214;34
"F6_03";"G";251;"^ 0.5";1;0,3;"euclidean";0,05;5;20;251;38
"G6_01";"G";261;"^ 0.5";1;0,3;"euclidean";0,05;5;20;261;47
"G6_02";"G";264;"^ 0.5";1;0,3;"euclidean";0,05;5;20;264;39
"G6_03";"G";220;"^ 0.5";1;0,3;"euclidean";0,05;5;20;220;58
