"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B5_01";"G";624;"^ 0.5";1;0,3;"euclidean";0,05;5;20;624;103
"B5_02";"G";642;"^ 0.5";1;0,3;"euclidean";0,05;5;20;642;127
"B5_03";"G";448;"^ 0.5";1;0,3;"euclidean";0,05;5;20;448;88
"C5_01";"G";806;"^ 0.5";1;0,3;"euclidean";0,05;5;20;806;131
"C5_02";"G";758;"^ 0.5";1;0,3;"euclidean";0,05;5;20;758;129
"C5_03";"G";659;"^ 0.5";1;0,3;"euclidean";0,05;5;20;659;124
"D5_01";"G";615;"^ 0.5";1;0,3;"euclidean";0,05;5;20;615;105
"D5_02";"G";710;"^ 0.5";1;0,3;"euclidean";0,05;5;20;710;129
"D5_03";"G";723;"^ 0.5";1;0,3;"euclidean";0,05;5;20;723;127
"E5_01";"G";522;"^ 0.5";1;0,3;"euclidean";0,05;5;20;522;61
"E5_02";"G";586;"^ 0.5";1;0,3;"euclidean";0,05;5;20;586;127
"E5_03";"G";536;"^ 0.5";1;0,3;"euclidean";0,05;5;20;536;93
"F5_01";"G";637;"^ 0.5";1;0,3;"euclidean";0,05;5;20;637;115
"F5_02";"G";731;"^ 0.5";1;0,3;"euclidean";0,05;5;20;731;139
"F5_03";"G";754;"^ 0.5";1;0,3;"euclidean";0,05;5;20;754;152
"G5_01";"G";632;"^ 0.5";1;0,3;"euclidean";0,05;5;20;632;91
"G5_02";"G";652;"^ 0.5";1;0,3;"euclidean";0,05;5;20;652;112
"G5_03";"G";725;"^ 0.5";1;0,3;"euclidean";0,05;5;20;725;175
