"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";1285;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1285;189
"B6_02";"G";1468;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1468;306
"B6_03";"G";828;"^ 0.5";1;0,3;"euclidean";0,05;5;20;828;150
"C6_01";"G";1340;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1340;230
"C6_02";"G";1721;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1721;418
"C6_03";"G";1225;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1225;204
"D6_01";"G";1127;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1127;174
"D6_02";"G";1497;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1497;308
"D6_03";"G";1367;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1367;240
"E6_01";"G";1136;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1136;203
"E6_02";"G";1504;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1504;406
"E6_03";"G";1165;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1165;149
"F6_01";"G";867;"^ 0.5";1;0,3;"euclidean";0,05;5;20;867;120
"F6_02";"G";1573;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1573;282
"F6_03";"G";1261;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1261;237
"G6_01";"G";889;"^ 0.5";1;0,3;"euclidean";0,05;5;20;889;121
"G6_02";"G";1365;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1365;264
"G6_03";"G";1520;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1520;269
