"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B3_01";"G";1201;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1201;259
"B3_02";"G";1715;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1715;258
"B3_03";"G";1028;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1028;200
"C3_01";"G";1165;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1165;287
"C3_02";"G";1315;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1315;251
"C3_03";"G";1748;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1748;303
"D3_01";"G";783;"^ 0.5";1;0,3;"euclidean";0,05;5;20;783;285
"D3_02";"G";1116;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1116;265
"D3_03";"G";1433;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1433;335
"E3_01";"G";1074;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1074;256
"E3_02";"G";1309;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1309;249
"E3_03";"G";1637;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1637;226
"F3_01";"G";1109;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1109;325
"F3_02";"G";1389;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1389;333
"F3_03";"G";1711;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1711;297
"G3_01";"G";782;"^ 0.5";1;0,3;"euclidean";0,05;5;20;782;98
"G3_02";"G";1141;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1141;182
"G3_03";"G";1891;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1891;341
