"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B4_01";"G";999;"^ 0.5";1;0,3;"euclidean";0,05;5;20;999;138
"B4_02";"G";1057;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1057;199
"B4_03";"G";608;"^ 0.5";1;0,3;"euclidean";0,05;5;20;608;68
"C4_01";"G";1173;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1173;175
"C4_02";"G";1187;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1187;151
"C4_03";"G";1067;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1067;198
"D4_01";"G";1016;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1016;149
"D4_02";"G";1233;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1233;245
"D4_03";"G";1010;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1010;150
"E4_01";"G";1224;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1224;194
"E4_02";"G";1199;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1199;204
"E4_03";"G";1255;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1255;229
"F4_01";"G";963;"^ 0.5";1;0,3;"euclidean";0,05;5;20;963;178
"F4_02";"G";983;"^ 0.5";1;0,3;"euclidean";0,05;5;20;983;188
"F4_03";"G";1440;"^ 0.5";1;0,3;"euclidean";0,05;5;20;1440;348
"G4_01";"G";864;"^ 0.5";1;0,3;"euclidean";0,05;5;20;864;134
"G4_02";"G";958;"^ 0.5";1;0,3;"euclidean";0,05;5;20;958;157
"G4_03";"G";801;"^ 0.5";1;0,3;"euclidean";0,05;5;20;801;88
