"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B7_01";"G";203;"^ 1";1;0,3;"euclidean";0,05;5;80;203;1070
"B7_02";"G";170;"^ 1";1;0,3;"euclidean";0,05;5;80;170;1131
"B7_03";"G";84;"^ 1";1;0,3;"euclidean";0,05;5;80;84;671
"C7_01";"G";103;"^ 1";1;0,3;"euclidean";0,05;5;80;103;841
"C7_02";"G";132;"^ 1";1;0,3;"euclidean";0,05;5;80;132;835
"C7_03";"G";209;"^ 1";1;0,3;"euclidean";0,05;5;80;209;964
"D7_01";"G";92;"^ 1";1;0,3;"euclidean";0,05;5;80;92;549
"D7_02";"G";138;"^ 1";1;0,3;"euclidean";0,05;5;80;138;745
"D7_03";"G";126;"^ 1";1;0,3;"euclidean";0,05;5;80;126;644
"E7_01";"G";125;"^ 1";1;0,3;"euclidean";0,05;5;80;125;708
"E7_02";"G";141;"^ 1";1;0,3;"euclidean";0,05;5;80;141;747
"E7_03";"G";112;"^ 1";1;0,3;"euclidean";0,05;5;80;112;848
"F7_01";"G";100;"^ 1";1;0,3;"euclidean";0,05;5;80;100;653
"F7_02";"G";102;"^ 1";1;0,3;"euclidean";0,05;5;80;102;824
"F7_03";"G";160;"^ 1";1;0,3;"euclidean";0,05;5;80;160;1035
"G7_01";"G";77;"^ 1";1;0,3;"euclidean";0,05;5;80;77;465
"G7_02";"G";127;"^ 1";1;0,3;"euclidean";0,05;5;80;127;777
"G7_03";"G";98;"^ 1";1;0,3;"euclidean";0,05;5;80;98;753
