"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles"
"B6_01";"G";99;"^ 1";1;0,3;"euclidean";0,05;5;80;99;946
"B6_02";"G";123;"^ 1";1;0,3;"euclidean";0,05;5;80;123;1003
"B6_03";"G";122;"^ 1";1;0,3;"euclidean";0,05;5;80;122;559
"C6_01";"G";112;"^ 1";1;0,3;"euclidean";0,05;5;80;112;898
"C6_02";"G";125;"^ 1";1;0,3;"euclidean";0,05;5;80;125;1092
"C6_03";"G";121;"^ 1";1;0,3;"euclidean";0,05;5;80;121;779
"D6_01";"G";114;"^ 1";1;0,3;"euclidean";0,05;5;80;114;769
"D6_02";"G";129;"^ 1";1;0,3;"euclidean";0,05;5;80;129;991
"D6_03";"G";101;"^ 1";1;0,3;"euclidean";0,05;5;80;101;937
"E6_01";"G";102;"^ 1";1;0,3;"euclidean";0,05;5;80;102;811
"E6_02";"G";130;"^ 1";1;0,3;"euclidean";0,05;5;80;130;1000
"E6_03";"G";119;"^ 1";1;0,3;"euclidean";0,05;5;80;119;813
"F6_01";"G";84;"^ 1";1;0,3;"euclidean";0,05;5;80;84;616
"F6_02";"G";105;"^ 1";1;0,3;"euclidean";0,05;5;80;105;1084
"F6_03";"G";104;"^ 1";1;0,3;"euclidean";0,05;5;80;104;895
"G6_01";"G";99;"^ 1";1;0,3;"euclidean";0,05;5;80;99;601
"G6_02";"G";109;"^ 1";1;0,3;"euclidean";0,05;5;80;109;918
"G6_03";"G";112;"^ 1";1;0,3;"euclidean";0,05;5;80;112;1114
